Name	RepresentID
田布戈	43968
巡逻军	43969
暗杀者	43970
火龙摧城	43973
火龙机雷	43978
火墙机关	43980
牛廷玠	43986
呼延啸云	43987
城墙防守战总控	43988
狼牙投石车	43989
飞石	43990
狼牙攻城兵	43991
狼牙攻城校尉	43992
狼牙军鼓手	43993
新建数据7	43994
新建数据8	43995
新建数据9	43996
新建数据10	43997
新建数据1	43998
新建数据2	43999
新建数据3	44000
新建数据4	44001
新建数据5	44002
新建数据6	44003
新建数据7	44004
新建数据8	44005
新建数据9	44006
新建数据10	44007
太原城守军	44009
太原城守军	44011
太原城守军	44013
太原城守军	44014
太原城守军指挥官	44016
太原城守军指挥官	44017
太原城守军	44018
太原城守军	44019
太原城守军	44020
太原城守军	44021
太原城守军	44022
太原城守军	44023
P001受伤	44025
P001受伤	44026
P008受伤	44029
长孙忘情	44030
银甲将军	44031
苍云士兵	44032
唐军士兵	44033
苍云士兵	44034
狼牙攻城车	44035
狼牙士兵	44036
狼牙突攻城先锋	44043
狼牙爆破兵	44044
火	44045
百姓	44079
投石车	44082
唐军士兵	44084
唐军2	44085
唐军队长	44086
箭弩台	44087
狼牙伤兵	44099
狼牙伤兵	44100
狼牙伤兵	44101
狼牙伤兵	44102
P012受伤	44103
P012受伤	44104
P012受伤	44107
狼牙投石车	44109
狼牙弩车	44110
狼牙爆破兵	44111
 	44112
狼牙攻城兵	44113
狼牙攻城队长	44114
狼牙攻城兵	44115
狼牙攻城兵	44116
张守忠	44118
太原城守军	44119
太原城守军	44120
1号火焰表现用	44124
1号小火表现用	44125
1号黑烟表现用	44126
狼牙攻城兵	44131
火炮	44133
狼牙弓箭手控制	44134
狼牙弓箭手	44140
狼牙号角手	44142
太原城守军	44144
狼牙攻城先锋	44148
狼牙先锋兵	44149
狼牙先锋兵	44150
可木汗	44151
陆晓风	44156
烽火	44157
爬墙狼牙兵	44158
狼牙兵攻城先锋	44159
狼牙攻城先锋	44162
狼牙攻城先锋	44163
狼牙攻城先锋	44164
狼牙攻城队长	44168
图拔	44169
雷厉	44173
李忠国	44174
杨文虎	44175
王蒙	44176
冯熙范	44177
卢安来	44178
状态机注册辅助NPC	44190
狼牙攻城先锋	44193
战利品	44205
陈风	44206
李建国	44207
蒙武	44208
李恬	44209
军需物资	44210
