Name	RepresentID
莫雨	49676
莫雨总控	49677
技能控制	49678
阶段控制	49679
毛毛	49680
可人	49681
宝箱	49682
黄泉绝影	49683
小怪控制	49684
面向控制	49685
知心火	49686
知心火控制	49687
黄泉绝影	49688
冲锋目标	49689
李白	49690
李白总控	49691
技能控制	49692
阶段控制	49693
青莲子剑	49694
青莲子剑	49695
多多	49696
剑气旋涡	49697
青莲子剑	49698
青莲子剑掉落控制	49700
宝箱	49701
祝白浪	49702
云飞	49703
源七熏	49704
韩非池	49705
韩非池战斗总控	49706
韩非池范围总控	49707
幻魔	49708
音缠	49709
韩非池·幻	49710
柳五爷	49711
源明雅	49712
龙图卫将领	49713
龙图卫	49714
权仲天	49715
明平海	49716
明玉儿	49717
反叛幕僚	49718
龙图乱军	49719
龙图余党	49720
龙图什长	49721
薛石	49722
龙图卫	49723
龙图文官	49724
宫女	49725
伙房仆役	49726
宫女	49727
逃难宫女	49728
多多	49729
卫岚	49730
李向阳	49731
韩非池的馈赠	49732
刘文曲	49738
逃难宫女	49740
幻魔附体	49741
蒋侧妃	49742
李菲灵	49743
秋菊	49744
