Name	RepresentID
伽那格炎手刺客	6769
伽那格毒手蛇使	6799
德弗愤怒者	6839
堕落毒蜥蜴	6841
疯狂信徒	6800
伽那格苦工	6850
伽那格祭司	6846
伽那格祭司	6845
阿卡玛纳教徒	6832
萨鲁瓦无序祭司	6857
塔洛马蒂叛徒	6864
陶威使者	6866
萨里夏信徒	6852
天一教药剂师	6870
天一教炼尸者	6868
阿里曼祭祀者	6833
阿里曼奴隶	6834
萨鲁瓦朱蝎	6858
牡丹	6872
塔洛马蒂	6885
姬无双	6880
慕容追风	6881
卫栖梧	6882
叶婧衣	6944
阿萨辛	6883
阿萨辛	22687
阿萨辛	22688
阿萨辛	23950
沙利亚	6884
阿里曼执法长老	6879
蝰蛇	7042
锯牙毒雾	6924
飞云回转刀	7191
毒云爆	6925
黑毒风	6926
维提吠达特天罚剑	6927
葬魂钉	6928
捆缚祭链	6930
毒花	6931
血玉	6932
蝎王毒钢刺	6936
朱蝎瓶	6943
青蛇瓶	6943
狼蛛瓶	6943
古蟾瓶	6943
阿里曼圣泉	6994
神净池	6961
净坛	6985
地刺	6988
蛋儿	6998
被欺骗的百姓	7007
被欺骗的百姓	7008
天尸兵将	7009
天尸刺客	7010
被抓的士兵	7014
被祭祀女子	7016
被困的密探	7017
被抓女刺客	7015
丽雅莎	7032
万花机甲	7043
球形滚石	7047
球形滚石	7120
球形滚石	7049
球形滚石	7129
圆柱滚石	7051
球形滚石总控	7087
球形滚石	7171
怒潮中心	7178
阵亡刺客	7351
阵亡将军	21079
喷泉	7377
万花机甲	7390
傀儡贵族	21081
幻隐步	22035
牡丹	22036
石柱	22060
忏悔之台	6985
毒云圈	22108
阴圈	22171
阳圈	22172
玛索	22182
灵气内力结界	22207
祭祀棺	22217
锁链控制	25044
神祭蜡烛	22293
毒云	22374
灯芯	22436
流隐步器械	22690
灵魂抽取	22448
铁网	22462
曲张邪符毒	22469
祭之墓	22507
剑落迹	22660
祭祀舞女	22629
天罚地沼	22663
形态壁垒	22707
祭祀棺	22827
破损的锁链	22828
散落的毒花瓣	22829
冥花连舞	22837
爆炎钉	22838
蝶恋清风	22839
血祭	22865
血涂风暴	22886
沙利亚的幻像	22902
阴性血玉	22916
尸鹫	25330
卓婉清	23215
乌蒙贵	23216
蛮熊之力	23218
飞猿之影	23223
镰鼬之影	23225
贪狼之牙	23228
狂蟒之怒	23815
狂蟒之劫	23814
狂蟒之厄	23813
狂蟒之伤	23816
被封的重力球	23517
逐莲弹	23520
寒玉针	23522
慕容追风	23675
落岩	23733
雪影	23225
炎影	23225
飞猿之影	23223
镰鼬之影	23225
炎点	23762
冰点	23765
裂岩	23767
火阵	23764
水阵	23763
狼阵	23766
白狼	23935
贪狼	23771
蛮熊的阴影	24297
狼影	23777
蛇影	23917
雷斩风	23804
蛇笼	23817
燃油石	23818
火云	23910
冰河	23905
牡丹的褒礼	23915
塔纳秘箱	23914
阿里曼黄金圣盒	23913
流光溢箱	23912
慕容夫人的影子	23930
冰霜的残渣	23931
分身背刺	23932
千针织沼	23933
卫栖梧	23953
封印	23954
耀稼薪	23999
侵蚀水	24013
水池中心	24020
广场中心	24959
炼制中心	24022
大厅中心	24958
狼聚中心	24023
重生中心	24019
双影中心	24021
浮	24072
卓婉清的影子	23215
慕容追风的防御	24111
拜火教使徒	24120
拜火教长老	24121
阿萨辛	24315
阿萨辛	24317
猛牙尖吻蝮	24861
蛇洞	24863
雷霆云影	24915
阿里曼的神子	24916
毒牙冲	24957
疯狂祭司	25338
献祭火台	25322
巨蟒核心	25323
守卫者视线	25328
转灵体	25331
龙胆蛇	25333
