Name	RepresentID
武逸青	27291
胡鞑	27292
胡鞑	25616
车轮战控制	25602
出门控制	27276
弹力球控制	27277
飓风控制改	27278
飓风改	25600
弹力球	27294
蝠王抓人技能控制	25620
龙跃殿总控	25598
龙跃狂暴控制	27193
鼠王技能控制	25596
千秋子	26394
黑骑士易伤buff控制	25903
黑骑士总控	25782
黑骑士诅咒控制	26593
煞气	27295
风蜈殿狂暴控制	27194
死亡审判	25789
陆寻	27296
南之雷神	27297
地雷	27312
地雷	27312
地雷	27312
地雷	27312
地雷	27312
地雷控制	25645
贴地电流	27318
电圈	27319
防御状态控制	26603
放电aoe控制	26603
放电基座	26582
放电基座控制	26581
扫射控制	26603
圣蝎殿总控	25631
玉蟾狂暴总控	27195
炮弹	27320
风蜈殿巡查	27322
风蜈殿巡查	27323
风蜈殿巡查	27324
风蜈殿精卫	27325
风蜈殿精卫	27326
风蜈殿精卫	27327
灵蛇宫巨臂将	27328
灵蛇宫毒士	27329
烛龙殿正殿巡守	27330
烛龙殿正殿巡守	27427
天蛛殿鼓卫	27331
天蛛殿鼓卫	27332
天蛛殿鼓卫	27333
天蛛殿鼓卫表现2	27333
寒骨卫士	27334
天蛛殿血量控制	26719
天蛛殿总控	25902
幽魄祭司	27335
天蛛毒液控制	26430
天蛛	27337
祭坛判官	27336
天蛛暗杀者	27339
燃魂祭司	27338
天蛛毒师	27340
鳌蛛	27341
天鳌蛛	27342
天鳌蛛	27343
天蛛巨尸	27344
天鳌蛛	27345
天蛛卫士	27346
醉蛛老人	27347
一阶段刷小怪	26045
仇恨连接	26586
蜘蛛的毒液	27348
瓷罐	27349
天鳌蛛	27350
天鳌蛛	27351
天鳌蛛	27352
天鳌蛛	27353
天鳌蛛	27354
天鳌蛛	27355
产小蜘蛛控制	26719
放蜘蛛丝控制	26719
寄生蜘蛛控制	26719
蜘蛛自爆控制	26719
鳌蛛	27111
小七	25614
长孙枚雨	26457
肖卿	26458
王若樱	26457
苏存	26458
李承恩	26389
祭坛护卫	26470
祭祀男教众	26461
祭祀女教众	26464
活尸	26471
活尸	26471
烛龙殿百人斩控制	26473
索笛尔	27356
龙出大海控制	26719
乱舞技能控制	26719
索笛尔血量控制	26719
旋转技能控制	26719
游龙步控制	26719
索笛尔训龙钻控制	27212
圣蝎狂暴总控	27196
索笛尔总控	26717
索笛尔的宝箱	27168
寒雷冰锁	26871
冰棺控制	26719
雷球	27357
电球控制	26719
电状态aoe控制	26719
星宿总控	26719
喷吐控制	26719
星宿换阶段控制	26719
千秋子	27358
千秋子的箱子	27089
索笛尔的烈焰	27362
唐门弟子	27421
五毒弟子	27422
烛龙正殿巡守表现2	27427
祭龙潭巡守	27537
祭龙潭巡守	27540
机关1号	27541
机关2号	27541
总开关	27541
机关小怪距离控制	26045
定位装置	25782
乌蒙贵	29035
乌蒙贵	29036
玛索	29037
炼蛇	29038
霸王蛇	29039
环纹蛇	29040
玛索寄生蛊控制	25782
玛索招自爆蛇控制	25782
玛索招眼镜蛇控制	25782
祭龙潭傀儡	29041
祭龙潭护卫	29042
护体神功	27709
乌蒙贵总控	25782
吸魂功控制	25782
虚弱控制	25782
乌蒙贵一阶段刷小怪控制	25782
瞬移控制	25782
乌蒙贵阶段控制	25782
毒蛇图腾	29043
毒蛇图腾控制	25782
猛斩技能控制	25782
三阶段毒蛊控制	25782
五阶段毒水控制	25782
毒水	29045
五阶段扩散球控制	25782
万毒奔腾	29046
毒球控制	25782
毒球	29047
乌蒙贵的宝箱	27168
毒蛊	27676
祭龙潭傀儡	29041
天一教精锐	26959
天一教精锐	26961
天一教精锐	26892
天一教精锐	26962
天一教精锐	26879
灵蛇宫守卫	26987
祭龙潭护卫	26987
祭龙潭护卫	26988
祭龙潭护卫	26989
灵蛇宫守卫	26989
灵蛇宫守卫	26988
祭龙潭死士	27524
蜘蛛囊	26977
