Name	RepresentID
战狼	69151
阿里曼信徒	69142
小鬼	69133
鬼火	69134
鬼门阴	69135
鬼门阳	69136
鬼门总控	69137
尸人	69138
骨刺	69141
骨刺	69224
阿里曼驯兽师	69132
狼牙驯兽师	69249
阿里曼驭兽师	69144
狼牙驭兽师	69143
阿里曼净坛使	69243
狼牙刺客	69147
幼小的蜘蛛	69259
巨型蜘蛛	69149
精锐战狼	69150
猴子	69263
竹叶青	69152
幼小的蟾蜍	69153
忍者	69154
罗刹鬼	69155
勾魂使者	69156
天一教祭祀	69157
天一教长老	69158
天一教教众	69159
天一教教众	69160
天一教教众	69161
天一教教众	69162
尸人	69163
尸人	69164
狰狞尸人	69165
女鬼	69166
女鬼	69167
狰狞尸人	69168
狰狞尸人	69169
小鬼	69170
武士	69171
东瀛浪人	69172
东瀛浪人	69173
高野成	69175
川奈勇	69176
蟾蜍	69177
赵云睿	69179
田甜	69180
蒋玉凤	54102
蒋玉凤	54102
锚点_boss	69239
锚点_boss	69240
锚点_boss	69241
锚点_小怪	69236
锚点_友善npc	69234
浪客行锚点_中立野兽 (66911)	69235
锚点_草药doodad	69238
锚点_宝箱doodad	69233
锚点_高级宝箱doodad	69232
锚点_精英	69237
死士	69231
阿里曼净坛司掌	69146
阿里曼祭司侍从	69244
阿里曼祭司	69245
娜迪亚	69246
狼	69247
狼牙兵	69145
狼牙精兵	69248
巴克图	69250
小野猪	69251
红毛野猪	69252
黑毛野猪	69253
巨型白毛野猪	69254
醉猿	69255
幼小的蝎子	69256
蝎子	69257
碧眼蟾蜍	69258
紫背蝎	69148
雄鹿	69260
雌鹿	69262
幼小的鹿	69261
姜长明	69319
带哥	69341
老毕	69320
皮酷	69321
七妹	69322
萧采	69323
小二黑	69324
丁承望	69325
天字毛肚	69326
封敛	69327
屁屁	69328
小胖	69329
涂山清浅	69330
店小二	69337
店小二	69454
桃桃	69331
小厮	69347
张老汉	69353
月下	69332
金大厨	69356
金宝儿	69357
崔秀才	69361
阿七	69333
阿黄	69362
猫猫	69334
末哥	69335
南宫余	69336
七妹	69338
胡商	69363
沥杯	69412
孟夏	69364
罗大力	69365
孟秋	69366
弘弈	69371
一零	69379
小红	69465
妖怪	69392
田甜	69375
皓叁	69376
白熊	69377
考拉	69378
莲儿	69382
鱼头	69416
徐大宇	69384
厂公	69389
黄老板	69385
肆点捌	69393
小凤	69386
小阿潮	69387
假发	69388
乔秋	69390
李如峰	69394
刘柱彬	69395
哈哈怪	69396
晨晨六	69397
葛尔施	69418
葛尔施	69419
葛尔施	69420
葛尔施	69424
葛尔施	69425
葛尔施	69426
葛尔施	69428
葛尔施	69429
蒋玉凤	71363
葛尔施	69407
关公像	69398
言术	69399
崔得	69400
佛像	69401
贾有旷	69402
梁生	69403
贾有旷	69404
小谷	69405
幼小的蜘蛛	69259
咸鱼	69413
石头	69414
蘑菇	69415
刘氏	69421
蛮吉	69422
波波	69423
姜澜剑	69427
墨素纱	69431
李霖	69440
阿景	69430
豆角	69433
烧茄子	69432
冯末	69435
冯末	69442
小芬	69436
黑鹰	69437
小澄澄	69438
哈雷彗星	69439
左瓶	69443
水缸	69444
老乞丐	69445
木水	69447
咕咕	69457
西楼姐姐	69446
二饼	69448
胡商仆役	69453
符笙	69455
阿柏	69449
天天	69450
阿涛	69451
皓叁	69452
青青	69456
阿七_黄鸡形态	69458
文韬	69459
古龙水	69460
老李	69463
喵弟	69472
沈剑心	69473
兔子	69487
绵羊	69488
山羊	69489
猪	69499
牛	69511
小猪	69501
黑猪	69503
小黑猪	69505
龟	69506
蜥蜴	69509
竹鼠	69510
蛙	69512
鹅	69513
公鸡	69514
母鸡	69515
君尚	69536
雷球	70405
定四方减伤圈	70636
壮尸	71360
壮尸	71361
吃货	71369
梁生	71368
山贼	71398
烹饪	71399
烹饪	71400
烹饪	71401
烹饪	71402
制药	71404
制药	71405
制药	71406
制药	71407
无名魂魄	71424
剑客	71417
旅人	71418
钓鱼老翁	71419
黑衣人	71420
琴师	71421
采花大盗	71427
采药郎中	71422
牧马人	71423
蛊师	71425
猜谜的小女孩	71426
“盗帅”	71453
山贼头目	71415
甄有倩	71430
白狐	71432
道士	71433
坟墓	71449
伙伴的馈赠	71454
子川	71457
子川	71458
吃货	71495
梁生	71494
陈只鱼	71525
