Name	RepresentID
少林小弟子	38470
丐帮1	38467
丐帮2	38468
丐帮3	38469
少林1	38470
少林2	38471
少林3	38472
江湖1	38473
江湖2	38474
江湖3	38475
江湖4	38476
江湖5	38477
江湖6	38478
小月夜	38497
小么	38498
戴蓉	38502
歆乐	38500
谷辉城	38503
桃子	38504
受伤的士兵	33732
魔狼营士兵	38544
魔狼营士兵	38599
魔狼营士兵	38600
魔狼营士兵	38593
魔狼营士兵	38594
魔狼营士兵	38595
骁狼营士兵	38555
骁狼营士兵	38593
骁狼营士兵	38594
骁狼营士兵	38595
骁狼营士兵	38596
骁狼营士兵	38597
骁狼营士兵	38598
奔狼营精英士兵	33110
奔狼营精英士兵	38601
唐风	38540
意流云	38541
华月	38542
炮车	38515
丐帮小弟子	38467
火云弹	38524
火云弹表现	38523
普通江湖1	38529
普通江湖2	38530
普通江湖3	38531
普通江湖4	38532
普通江湖5	38533
普通江湖6	38534
狼牙追兵	38550
狼牙士兵	38593
狼牙士兵	38594
狼牙士兵	38595
狼牙士兵	38596
狼牙士兵	38597
狼牙士兵	38598
狼牙女兵	38599
狼牙女兵	38600
狼牙骑兵	38601
