Name	RepresentID
张巡	32357
贾贲	32359
张忭	32360
蒋青	32361
莫严	32362
饥饿的士兵	32363
饥饿的士兵	32413
饥饿的士兵	32365
饥饿的士兵	32432
身染怪病的士兵	32378
身染怪病的士兵	32423
苏忆柳	32379
苏恨林	32381
南霁云	32395
雷万春	32396
神策军伤兵	32397
神策军伤兵	32399
神策军伤兵	32398
神策军伤兵	32395
邱知春	32400
孙启功	32401
于擒龙	32409
中毒的士兵	32402
中毒的士兵	32420
乌鸦	32403
毒狼	32408
饥饿的士兵表现2	32413
狼牙刺客	32410
饥饿的士兵表现	32365
神策医疗兵	32380
神策医疗兵	1218
前线士兵	32414
前线士兵	32417
前线士兵	32422
前线士兵	32416
前线士兵	32439
葵字营刀盾兵	32416
葵字营长刀兵	32417
前线弓箭手	32418
前线机关操作员	32419
前线伤员	32421
前线伤员	32398
前线伤员	32399
前线伤员	32439
前线伤员	32395
张巡的卫兵	32428
狼牙攻城勇士	32426
狼牙攻城勇士	32427
狼牙攻城勇士表现1	32427
狼牙攻城死士	32382
狼牙攻城死士	32383
狼牙攻城死士表现1	32383
百里当先	32384
狼牙战士	32385
狼牙战士	32386
狼牙战士	32387
狼牙战士表现1	32386
狼牙战士表现2	32387
鬼弓战将	32388
狼牙队长	32389
狼牙祭祀	32390
“血钩”渤达尔	32391
被抓的乳娘	32392
“疾风”希古敖	32393
新建数据13	32394
毒狼	32731
伍仲海	32824
饥饿的士兵表现3	32432
被俘的江湖义士	32826
被俘的江湖义士	32836
被俘的江湖义士	32833
被俘的江湖义士	32832
被俘的江湖义士表现1	32836
被俘的江湖义士表现2	32833
被俘的江湖义士表现3	32832
被抓的妇女	32834
被抓的妇女	32871
被抓的妇女	32872
狼牙士兵	32835
狼牙士兵	32837
狼牙士兵表现1	32837
狼牙看守	32838
狼牙队长	32839
周鹏翼	32840
神策苦力	32841
神策苦力	32842
神策苦力	32843
神策降军	32842
神策降军	32843
神策败类	32844
狼牙监工	32845
狼牙监工	32846
狼牙监工表现1	32846
颜趵	32847
被绑的孩子	32861
被绑的孩子	32862
卜敢当	32863
海字营巨狼	32856
海字营巨狼	32858
海字营巨狼	32859
何足道	32747
杨云	32749
秦肃观	32751
明教女弟子	32755
明教弟子	32756
明教弟子	32755
丐帮弟子	32757
蒙面的丐帮弟子	32758
丐帮弟子表现	32879
受伤的天策弟子	32880
恶人谷弟子	32882
恶人谷弟子	32889
恶人谷弟子	32888
浩气盟弟子	32884
浩气盟弟子	32886
浩气盟弟子	32887
备用-颜杲卿	32753
据点陶寒亭	32752
曹雪阳	32714
皇甫绍	32708
皇甫彰	32711
幸存的天策士兵	32715
曹炎烈	32716
鲁有山	32722
神策士兵梁安	32723
神策降兵表现	32726
神策降兵	32725
副将武思南	32724
鬼军师	32727
鬼军师	32732
被审判的士兵1	32728
被审判的士兵1	33106
被包庇的狼牙蛮人	32729
被包庇的狼牙蛮人	33120
公孙介	32733
田辟土	32730
耶律隆	32734
安达恢	32735
武牢关狼牙军	33073
武牢关狼牙军	33074
武牢关狼牙军	33108
武牢关狼牙军	33109
武牢关狼牙军	33110
武牢关狼牙军	33075
武牢关狼牙军	33117
武牢关狼牙军	33165
监军护卫长	33076
狼牙军_曹氏表现1	33074
狼牙军_曹氏表现2	33075
狼牙监军护卫	33077
狼牙监军护卫	33078
狼牙监军护卫	33118
狼牙监军护卫1	33078
曹雪阳	33613
曹雪阳	32707
皇甫绍	32709
皇甫彰	32710
曹炎烈	32712
魁梧的狼牙伏击者	32713
曹将军（相认）	33614
田桂圆	32701
公孙阳	32702
孔法	32703
狼牙俘虏	32704
幸存的天策将士	32705
呼雷豹	32706
瀚木诺	32736
楼陀迦	32737
耶律梦	32738
辎重营监工	32740
苦工	32741
苦工	33060
苦工	33061
巴额图	32739
辎重营技师	32742
辎重营技师	32743
狼牙押粮兵	32744
辎重营守卫	32745
辎重营守卫	33062
战狼	32746
