Name	RepresentID
聚仙寨山贼	3099
夜雨鳄	3102
聚仙寨守寨贼	3103
林云仙	3104
送信山贼	3105
具无霸	3106
桃丘猴	3107
招魂岗青蛇	3108
桃丘狐	3109
桃花蛙	3110
麻钻风	3111
通天泽鳄	3113
通天水龟	3114
八角寨山贼	3115
八角寨山贼	40176
通天泽食人鳄	3116
通天泽龟祖	3117
董家搜巡山贼	3118
南山蜂兵	3119
南山蜂兵	40180
董家跋扈盗匪	3120
蜂后	3121
细腰蜂	3122
黑翅蜂	3124
尾上针	3125
董龙	3126
宇文逐鹿	3127
千军万马	3128
襄阳刀	3132
三臂神棍	3135
田断江	3145
赵信侯	3150
耿云	3225
哨探头目	3226
董龙亲信	3227
亲信头子	3228
铁如山	3229
潇湘岛蟾蜍	3230
潇湘岛龟	3231
东流岛螃蟹	3232
霸者巨蟹	3233
潇湘岛白虎	3234
潇湘岛云豹	3235
东流岛鹿	3236
残豹	3237
东流鱼鸥	3239
满天星	3240
魏明月	3243
灰蛇长老	3823
白蛇长老	3493
黑蛇长老	3817
五步倒	3258
天一教控蛇长老	3263
天一教蛇卫	3265
灰蛇监守	3272
白蛇监守	3274
黑蛇监守	3277
魏若海	3279
蜥卫	3282
蜥卫	40208
遁地蜥蜴	3286
被害的行路人	3288
肖笑僧	3297
受惊的毒人	3303
杀手	3304
尸人	3306
左丘燎原	3308
暴怒的尸人	3310
玉子山	3311
观瀑园门客	3312
苗疆教徒	3314
驱尸人	3313
外院护院	3316
内宅门徒	3317
乔弘农	3320
不受欢迎的刺客	3496
不受欢迎的刺客	40173
聚仙寨岗贼	3505
聚仙寨恶匪	3506
聚仙寨精锐恶匪	3507
聚仙寨精锐恶匪	3592
小猿	3522
八角寨巡寨贼	3525
聚仙寨巡寨贼	3528
何坏水	3529
苏由	3550
燕楼	3551
董龙	3964
半天云	3104
半天云	3648
丁大眼	3657
丹顶鹤	3838
魏门刺客	4081
观瀑园门客	3328
反转乌龟表现2	2330
鹿	40209
鹿	40210
