Name	RepresentID
伊玛目	59008
伊玛目总控	59009
柳鸾旗	59010
雷蛇	59011
木材	59012
合金块	59013
滚石	59014
伊玛目的宝箱	59015
血刀卫	59016
血刀卫	59017
轨道机关	59018
肆虐	59020
柳鸾旗技能控制	59021
火雨控制	59022
伊玛目技能控制	59023
柳鸾旗区域表现控制	59024
雷食兽	59029
掉落火球控制	59031
祆教使者	59032
猛烈	59033
二阶段柳鸾旗龙卷风	59034
火雨	59035
小火焰	59036
实验火矿车	59038
柳鸾旗总控	59039
阶段控制	59040
柳秀岳的宝箱	59067
幻境技能控制	59043
石块	59044
实验金矿车	59045
实验木矿车	59046
柳鸾旗的宝箱	59067
掉落的火球	59047
伊玛目刷使者控制	59048
二阶段落雷控制	59049
落雷	59050
实验水矿车	59051
实验土矿车	59052
飞升石块控制	59053
柳鸾旗	59054
伊玛目元火控制	59055
袁琅	59056
柳秀岳的宝箱	59067
雷火	59060
屋顶天雷	59061
雷池	59062
幻境迷云	59063
伊玛目的宝箱	59015
柳鸾旗的宝箱	59067
实验废铁	59069
幻境魔影	59070
幻境分身	59071
法健公	59072
血刀卫	59073
血刀卫	59074
柳五爷	59075
月弄痕	59076
法健公控制	59077
柳秀岳	59078
寒水石	59079
硫磺岩	59080
土块	59081
雷溶石	59085
雷霆天针	59086
麒麟矿车	59088
麒麟矿车	59089
麒麟矿车	59090
麒麟矿车	59091
麒麟矿车	59092
柳惊涛	59093
霸刀弟子	59094
郭澄	59095
杨青月	59096
柳丰衣	59097
霸刀锻造师	59098
麒麟矿车	58123
伊玛目的宝箱	59015
伊玛目的宝箱	59015
伊玛目的宝箱	59015
柳鸾旗的宝箱	59067
柳鸾旗的宝箱	59067
柳鸾旗的宝箱	59067
柳秀岳的宝箱	59067
柳秀岳的宝箱	59067
柳秀岳的宝箱	59067
宝箱	61484
