Name	RepresentID
铁狱方体	62721
月华	62722
狼头	62723
乌夜啼	62724
乌夜啼	62725
月泉淮	62727
幻念剑气	62728
可人	62729
穆玄英	62730
东海剑阵	62731
渤海的贡品	62732
狼牙生存精锐	62733
铁板烧	62734
地刺	62735
恶人“如疯”	62737
郭岩	62738
独孤九	62739
柳静海	62740
郭珠	62741
狼牙验药者	62742
狼牙验药者	62743
出血角	62744
岩鬼	62745
乌夜啼宝箱1	62746
东海剑阵	62748
门开关	62749
月影天华阵	62750
奇怪的黑猫	62751
夜薙之手	62752
死徒人偶	62754
死亡螺旋	62755
乌夜啼宝箱2	62756
乌夜啼宝箱3	62757
乌夜啼宝箱4	62758
德夯	62759
曲云	62760
狼牙精锐	62761
崔乾佑	62762
狼牙狙杀弓卫	62763
狼毒暗卫	62764
狼牙精英弓卫	62765
狼牙精锐刀卫	62766
精英幻境入口	62767
暗器车	62768
爆弹车	62769
暗器堆	62770
朱海浩	62771
狼牙狱卒	62772
狼牙狱卒伍长	62773
墙刺	62774
乌夜啼宝箱5	62775
乌夜啼宝箱6废弃 (60174)	62776
迷幻的士兵	62777
困兽囚笼	62778
秘制冰髓毒爆弹	62779
火药陷阱	62780
乌夜啼	62781
乌夜啼	62784
月泉淮	62785
夜眼	62786
红衣教幻咏女祭司	62787
红衣教无生教徒	62788
红衣教印邪教众	62789
桃刃	62790
霍勤	62791
曲云和德夯	62792
月华宝箱1	62793
通关宝箱	62794
逆尸之触	62795
乌夜啼	62797
红衣教男弟子变装	62798
红衣教女弟子变装	62799
易燃液	62801
易燃液	62802
暗蝎	62807
狼牙守备官	62808
狼牙探子	62809
月华宝箱2	62810
月华宝箱3	62811
机关阵宝箱1	62812
易燃液	62813
蓄积的内力	62814
心魔	62815
机关阵宝箱2	62816
机关阵宝箱3	62817
剑阵宝箱1	62818
疲劳的铁匠	62819
柳铁柱	62820
李食天	62821
郭思国	62822
岩鬼	62823
杀人蜂	62888
雾气	62825
红衣教萝莉变装	62826
红衣教正太变装	62827
铁狱箭	62828
精英心魔	62829
心魔	62830
精英心魔（废弃）	62831
剑阵宝箱2	62832
剑阵宝箱3	62833
月泉淮宝箱1	62834
狼牙精锐步兵	62835
狼牙高阶军官	62836
狼牙谋士	62837
狼牙冲撞禁卫	62838
心魔	62839
精英心魔（废弃）	62840
拉杆	62841
暗月血球	62842
狼牙军士	62843
狼牙厨师	62844
被俘虏的中原厨师	62845
狼厨神	62846
幻境入口	62848
红玉秘药使者	62849
狼牙军士	62850
红衣教炼药师	62851
红衣教低阶教徒	62852
庄愈华	62853
百慕玲	62854
幽冥禁锢	62855
狼牙翡翠秘宝	62856
狼牙珍珠秘宝	62857
狼牙铂金秘宝	62858
狼牙翡翠秘宝	62859
狼牙翡翠秘宝	62860
狼牙翡翠秘宝	62861
狼牙珍珠秘宝	62862
狼牙珍珠秘宝	62863
狼牙鹰眼弓卫	62864
狼牙残忍屠夫	62865
深槽狼头机关	62866
圆框狼头机关	62867
月泉淮宝箱2	62869
月泉淮宝箱3	62870
炼丹炉	62872
