Name	RepresentID
天山弟子	61306
天山弟子	61307
天山弟子	61308
天山弟子	61309
狼牙弓手	61310
石斑	61311
火石	61312
石斑势大力沉	61313
箭弩台	61314
炮台	61316
炮弹	61317
司晴	61318
自爆僵尸	61319
分身僵尸	61320
独孤云	61321
柳随风	61322
曲云	61323
柳静海	61324
德夯	61325
司徒一一	61326
狼牙弓箭手	61327
狼牙首领	61328
苦力	61329
狼牙监工	61330
狼牙守卫	61331
曲云	61332
李令霞	61337
李令霞	61338
李令霞	61339
地陷	61340
分身	61344
分身僵尸	61345
司晴的宝箱	61346
幽寒境	61347
狼牙守卫(作废)	61348
狼牙巡逻兵	61349
飞石	61350
修理机甲	61351
激光发射器	61352
雷光	61353
德夯	61354
天山弟子	61355
剑域	61357
血量平衡	61358
总控	61359
结束控制	61360
独孤九	61361
狼牙伏击者	61362
转阶段地爆	61363
旋转爆裂球	61366
天地玄幻雷	61367
御龙兵甲	61368
投石车	61369
火弹	61370
独孤九	61371
柳静海	61372
御龙兵甲废弃	61373
狼牙守卫	61374
曲云	61376
天山弟子	61378
石斑喷射	61379
火焰	61380
技能控制_天	61381
技能控制_地人	61382
狂暴控制	61383
铁石	61385
狼牙铁卫	61386
李令霞宝箱	61411
李令霞宝箱	61412
李令霞宝箱	61414
李令霞宝箱	61413
李令霞宝箱	61415
石斑的宝箱	59067
石斑的宝箱	59067
石斑的宝箱	59067
石斑的宝箱	59067
石斑的宝箱	59067
司晴的宝箱	61426
司晴的宝箱	61427
司晴的宝箱	61428
司晴的宝箱	61429
司晴的宝箱	61430
宝箱	61484
