Name	RepresentID
哥舒翰	56394
夺魂惊龙枪	56396
黑齿元佑	56400
蜘蛛	56401
毒花	56402
潜行蜘蛛	56403
刷蜘蛛控制	56404
刷毒花控制	56405
黑齿技能控制	56406
黑齿总控	56407
协防判断控制	56408
英招	56410
英招	56411
蛞蝓	56412
安庆绪	56413
安庆绪	56414
安庆绪	56415
安庆绪	56416
蜘蛛	56424
蜘蛛卵	56425
联军士兵	56426
天策士兵	56433
狼牙俘虏	56434
苍云士兵	56435
燕忆眉	56436
李承恩	56437
李复	56438
曹雪阳	56439
李无衣	56440
长孙忘情	56441
罗天	56442
天策守卫士兵	56443
苍云守卫士兵	56444
蜘蛛	56445
狼牙长弓手	56446
狼牙长枪手	56447
狼牙精英守卫	56448
狼牙长弓手	56449
狼牙刀盾兵	56450
狼牙长枪手	56451
宝箱	56452
对话控制	56453
蜘蛛守卫打斗控制	56454
邵益	56457
赵嵩权	56458
狼牙军官	56459
狼牙副官	56460
狼牙悍将	56461
狼牙斗将	56462
狼牙城卫	56463
李承恩	56464
李复	56465
曹雪阳	56466
长孙忘情	56467
燕忆眉	56468
李无衣	56469
表现控制	56470
天策前锋士兵	56471
苍云前锋士兵	56472
李斩鸿	56473
邵荆	56474
李复	56475
李承恩	56476
曹雪阳	56477
长孙忘情	56478
李无衣	56479
燕忆眉	56480
天策前锋士兵	56481
苍云前锋士兵	56482
黑齿元佑宝箱	56483
狼牙守卫	56484
天策弓箭手	56485
尸人	56486
蛞蝓	56488
蛞蝓	56489
宝箱	56492
上阳宫禁卫	56502
上阳宫禁卫统领	56510
李复	56511
李承恩	56512
曹雪阳	56513
柳静海	56514
独孤九	56515
霸刀弟子	56516
黑齿元佑宝箱	56483
黑齿元佑宝箱	56483
黑齿元佑宝箱	56483
黑齿元佑宝箱	56483
帮会宝箱	56680
帮会宝箱	56681
帮会宝箱	56682
帮会宝箱	56683
帮会宝箱	56684
