Name	RepresentID
南诏信使	25594
厉天行	25894
火布日则	26613
南诏斥候	27383
赤黑赤莫	27379
飞熊百夫长	27385
可疑的路人	27359
可疑的路人	27384
上门闹事的兵痞	25591
上门闹事的兵痞	21123
上门闹事的兵痞	21124
上门闹事的兵痞	21125
护鼎弟子	27423
护鼎弟子	27722
试丹暴猿	27424
冬静波	27425
皇城禁卫	27433
陈和尚的手下	27659
哀牢勇士	27671
哀牢勇士	27846
哀牢勇士	27847
哀牢勇士	27848
哀牢勇士	27850
哀牢勇士	27851
哀牢勇士	27849
哀牢勇士	27852
哀牢勇士	21125
哀牢勇士	22020
护鼎弟子	27722
康雪烛手下表现	27846
康雪烛手下表现1	27847
康雪烛收下表现2	27848
康雪烛手下表现3	27849
康雪烛手下表现4	27850
康雪烛手下表现5	27851
酒馆杂役	27857
酒馆老嬷	27858
驴子	27853
酒馆小二	27856
酒馆老板	27855
家猪	27854
康雪烛收下表现6	27852
