Name	RepresentID
麻不一	26649
宗朝南	26638
董殊才	26639
吉木登	26640
拖觉友拉	27455
苏呷墨	27458
夏启	27454
郝思仁	27456
杨林	26641
沙马沙红	26650
乃古莫风	26651
娜芝	26546
玛雅	26544
密所托觉	27459
子羽	27461
告示牌	27457
洮阳	26689
洮阳	26690
洮阳	26691
刘驰驰	26693
颜令宾	26692
渡忧	26251
木兰	26655
洮阳表现1	26690
洮阳表现2	26691
几野	27460
傻小子	27431
宇晴	26742
赵叔源	27031
知客僧	27438
秋叶青	27434
青衣护卫	27437
陈德宝	27441
扫地僧	27465
打坐僧	27464
演武僧	27466
几尔高	27460
风城守卫	28113
风城卫队长	28114
征兵谋士	28115
南诏佣兵	28116
南诏士兵	28117
南诏士兵	28118
南诏军需官	28119
药农	28120
猎户	28121
猎犬	28122
樵夫	28123
风城居民	28124
风城居民	28125
大象	28129
洗象小孩儿	28130
老铁匠	28131
铁匠伙计	28132
董姥姥	28133
食品商伙计	28134
冬净	28153
更夫	28136
食客	28137
食客	28138
食客	28139
食客	28140
食客	28141
食客	28142
食客	28143
食客	28144
食客	28145
食客	28146
茶饭摊老板	28147
茶饭摊伙计	28148
赤尾	28149
陈年	28150
赤黑赤尔	28151
陈淑	28152
摸象小孩儿	28154
摸象小孩儿	28155
游方杂货商	28159
杂货商牛车	28160
杂货商随童	28161
南诏弓兵	28088
蔡贵	28162
化缘和尚	28163
化缘小和尚	28164
摸象小孩儿	28165
南诏骑兵	28166
南诏骑兵	28167
南诏骑兵	28168
南诏骑兵	28169
同盟刺客	28170
路人	28171
路人	28172
路人	28173
路人	28174
路人	28175
路人	28176
同盟刺客	28183
医者	28188
医者徒弟	28187
特殊卫兵	28113
南诏仵作	28189
铁匠伙计	28190
许浦	28191
带兵器哥哥	28192
铁匠伙计	28193
铁匠伙计	28194
买兵器弟弟	28195
带兵器弟弟	28196
无愧南灵刺客	28199
无愧南灵刺客	28200
无愧南灵刺客	28201
无愧南灵刺客	28202
