Name	RepresentID
晏厄	67228
晏厄	67264
邢不僵	67272
晏灾	67229
孙楚珊	67276
鬼首	67253
水鬼	67261
无面鬼	67269
无面鬼	67270
鑫鑫	67271
鑫鑫	67598
弓守	67353
无面鬼	67535
无面鬼	67533
音符	67278
音律曲	67277
强弓	67354
盾卫	67355
钱宗龙	67356
虎突勇士	67404
虎牙号海寇	67405
强袭奴仆	67406
无耻混蛋	67407
渔民	67408
渔民	67409
鱼枪	67434
康宴别	67416
方子游	67417
独孤九	67418
穆玄英	67419
佘振	67421
虎牙号海寇	67493
防守位置	67597
灭火弹	67608
沈鸿飞	67614
鲨鱼	67957
火药弹	67644
伍藏野	67681
萧隆夏	68121
沈昊	68119
鲁余	68117
相巴邦	68118
梭梓榭	68122
方耕牧	67797
方耕牧	67807
孙楚珊宝箱1	59015
孙楚珊宝箱2	59015
孙楚珊宝箱3	59015
行不僵宝箱1	59015
行不僵宝箱2	59015
行不僵宝箱3	59015
鬼首宝箱1	59015
鬼首宝箱2	59015
鬼首宝箱3	59015
尹雪尘宝箱1	59015
尹雪尘宝箱2	59015
尹雪尘宝箱3	59015
晏灾宝箱1	59015
晏灾宝箱2	59015
晏灾宝箱3	59015
通关宝箱	59015
弓箭手	67997
康赞	68027
康秋	68050
洪于翔	68034
水鬼	68157
海龙会突击海寇	68077
海龙会精锐海寇	68076
海龙会海寇	68075
海龙会奸诈海寇	68088
海龙会奸诈海寇	69084
海龙会女性海寇	68080
海龙会女性海寇	69083
受轻伤的海寇	68082
受重伤的海寇	68084
无法动弹的海寇	68086
濒死的海寇	68089
虚弱的海寇	68090
联军守卫	68112
联军侍卫	68113
李如峰	68100
水鬼	68109
水鬼	68109
唐优子	68098
浔郢	68099
方家远海卫	68115
方家御海卫	68120
康家定海卫	68130
康家肃海卫	68123
尹家结阵手	68135
尹家护阵手	68136
联军弓箭手	68190
海龙会弓箭手	68191
二号宝箱1	59015
二号宝箱2	59015
二号宝箱3	59015
海龙会弓手	68300
尹拓	68459
大白羽	68461
白雕	68462
关卡宝箱	69028
思思	69054
康宝	69071
阿彭	69089
阿彭	69090
阿博	69087
阿博	69088
