Name	RepresentID
蜥蜴	22694
蜥蜴	23583
狐狸	22695
狐狸	22717
响尾蛇	22696
野骆驼	22697
野骆驼	22720
斑鬣狗	22698
斑鬣狗	22699
斑鬣狗	22700
斑鬣狗坐姿	22699
斑鬣狗吃	22700
黄羊	22701
小黄羊	22702
小骆驼	22703
小骆驼	22721
胡狼	22704
蝙蝠	22705
蟾蜍	22706
驼车	22708
骆驼	22709
骆驼	22719
小斑鬣狗	22713
狐狸坐	22717
骆驼坐	22719
骆驼车坐	22718
野骆驼坐	22720
小骆驼坐	22721
花蛛	22751
灰鸟	22752
小河蟹	22753
野兔	22755
蝎子	22756
野猪	22757
野猪	22758
白毛野猪	22758
小野猪	22759
小寄居蟹	22760
雄鹿	22761
雄鹿	22956
雌鹿	22762
雌鹿	22954
小鹿	22763
小鹿	22955
彩蝶	22764
彩蝶	22765
彩蝶表现1	22765
雄虎	22766
幼虎	22767
雌虎	22768
金豆	22281
家猪	22769
家猪	22770
家猪表现1	22770
小家猪	22771
阿诺	22771
施瓦	22771
辛格	22771
大妮	22772
小伙	22773
家狗	22774
家狗	23518
家狗	23788
小狗	22775
小狗	22776
小狗表现	22776
黄牛	22778
小黄牛	22779
水牛	22780
小水牛	22781
雄野牛	22784
雌野牛	22785
小野牛	22787
母鸡	22788
小鸡	22791
景止	22792
家马	22793
鹅	22794
雪狐	22850
落雪白熊	22851
落雪幼熊	22852
落雪虎	22853
小雪鸟	22854
雄雪鹿	22855
雄雪鹿	22957
雌雪鹿	22856
雌雪鹿	22958
幼雪鹿	22857
幼雪鹿	22953
古墓蜘蛛	22904
贪食麻雀	22909
小鹅	22910
乌鸦	22911
雌鹿趴着表现	22954
小鹿趴着表现	22955
雄鹿趴着表现	22956
雄雪鹿趴表现	22957
小雪鹿趴表现	22953
雌雪鹿趴表现	22958
驿站马匹	22980
驿站马匹	22982
驿站马匹白	22982
听琴的牛	23052
雄羚羊	23066
蛇	23065
蛇	23077
蛇	23822
雌羚羊	23067
小羚羊	23068
雄羚羊趴	23069
蝴蝶	23070
蝴蝶	23071
蝴蝶	23072
蝴蝶	23073
蝴蝶	23075
蝴蝶	23074
蝴蝶	23076
蝴蝶表现1	23071
蝴蝶表现2	23072
蝴蝶表现4	23074
蝴蝶表现5	23075
蝴蝶表现6	23076
蛇表现1	23077
龟	23078
猴	23485
小猴	23486
猴王	23487
家狗卧姿	23518
站立乌鸦	23532
站立乌鸦	23534
盘旋乌鸦	23534
雄狮	23535
幼狮	23536
彭彭	23538
白猴	23537
z野兔	22755
野象	23579
雌象	23580
小象	23581
小孙	23582
绿蜥蜴	23583
鹦鹉	23584
鹦鹉	23585
鹦鹉1	23585
孔雀	23586
公鸡	23587
鼠	23591
小娟	23589
小娟	23590
糖糖	23590
灰鼠	23638
蛇1	23640
蛇2	23641
小落雪猿	23731
家狗狂吠	23788
落雪巨猿中	23791
蛇的表现	23822
雪兔	24941
小狗	22775
小狗	22776
母鸡	22788
公鸡	23587
