Name	RepresentID
南诏剑神	23138
南诏刺客兵	23140
剑神门下剑客	23142
智慧王	23143
智慧王随从	23146
影剑奴	23147
疾剑奴	23155
雷剑奴	23154
剑三少	23163
杨沉剑	23164
轩辕社义士	23172
轩辕社义士	23173
轩辕社义士	23178
轩辕社义士	23175
轩辕社义士	23174
轩辕社义士1	23173
轩辕社义士2	23174
轩辕社义士3	23175
受伤的轩辕社勇士	23176
死去的战马	23177
轩辕社义士4	23178
受伤的轩辕社勇士	23179
祁进	23180
叶蒙	23181
阳宝哥	23182
阿诛	23183
李复	23184
重伤的南诏剑客	23186
剑神侍女	23214
火焰	23466
成都PQ总控	23649
藏剑侠士	24611
天策侠士	24613
天策侠士	24614
中原侠士	23609
中原侠士	24061
少林侠士	24617
中原侠士	24618
中原侠士	24620
中原侠士	24619
不明身份的侠士	24613
不明身份的侠士	24614
不明身份的侠士	23609
不明身份的侠士	24617
不明身份的侠士	24619
不明身份的侠士	24620
不明身份的侠士	24618
不明身份的侠士	24061
喷血	24650
断木忍术	24693
疾剑奴	24706
雷剑奴	24704
影剑奴	24705
杨沉剑	24707
气浪	24708
大风	24714
大风1	24715
剑圈	24718
重剑入地特效	24719
重剑入地特效1	24720
重剑入地特效2	24721
喷血1	24722
治疗buff	24723
李复总控	24726
剑特效	24732
治疗光圈	24733
南诏截杀死士	21890
南诏截杀死士头目	21889
