Name	RepresentID
提多罗吒	26055
枯木禅琴	26056
金刚佛铃	26059
菩提梵钟	26058
雷音天鼓	26057
木人	26184
木桩	26060
震动音波	26197
暗波动	26198
重震音波	26199
音爆	26201
落石	26202
华秋儿	26185
管风	26203
少林达摩武僧	26186
少林精锐僧兵	26187
达摩护卫僧	26188
道海	26189
慧痴	26190
达摩石像	26195
达摩石雕	26196
木人总控	26193
林烛台	27513
落石总控	26192
烟雾	26191
奇怪的小孩	26182
木人	26183
碎石	26321
萧沙	26398
胡鞑	26399
武逸青	26400
白龙长老	26401
青龙长老	26402
蓝鹰	26403
紫鹰	26404
洪笑尘	26407
洪笑尘	28108
原明教旧部众	26405
龙俊华	26408
射云	26406
巨大的力量	26414
分散的内力	26417
尘土爆炸	26420
少林护卫僧兵	26421
龙王之气	26425
蝠鼠之影	26426
遁地术	26427
达摩院高徒	26431
达摩院高徒	26432
土刺	26438
吸血蝙蝠	26439
虎啸	26440
火啸营刀兵	26441
火啸营火长	26442
阵孔	26465
蝠王黑风	26467
碎石中的宝物	29078
慧海	26474
毒鼠	26480
天龙	26481
地龙	26482
黑色龙卷	26485
撕裂血风	26487
黑血甲壳	26488
小石头	26501
澄正	26526
谢渊	26527
浩气盟护卫	26528
石中物	26530
原明教教众	26552
双龙吐珠	26566
火环	27532
暗龙火冲	27533
地鼠土甲遁	27534
红风烈刃 	27545
毒龙弹	27583
毒药圈	27595
灵药箱	27869
携带粮包	27870
怪异铁盒	27872
飞落的岩石	27945
南诏壁里	27883
高渐离	27967
聂蓉儿	27968
奇怪的骰子	28126
