Name	RepresentID
高干	40125
安守忠	40134
安守忠	40140
安守忠	40409
良家民女	40132
良家民女	40445
看守	40133
袁芳	40139
幻身	40141
幻身	40142
幻身	40143
狼牙精锐	40145
铜锤	40146
崔乾佑	40197
狼牙精锐冲锋骑兵	40198
狼牙精锐冲锋骑兵	40297
战车	40199
狼牙精锐弓手	40201
火圈	40202
狼牙弓箭手	40148
暗杀者	40149
火圈	40161
舞女	40153
舞女	40154
严庄	40155
狼牙兵	40157
狼牙兵	40158
狼牙锤兵	40159
严庄总控	36530
严庄刷怪控制	36530
严庄杀怪界面控制	36530
冲击波	40169
闪光弹面向控制	36530
地牢	40170
宝箱	36513
黑齿元佑	40172
民工	40184
民工	40195
民工	40300
妇人	40185
小女孩	40186
小女孩	40215
老菜农	40187
老妇人	40189
卖菜妇人	40190
民工	40191
民工	40192
内城狼牙士兵	40194
民工	40195
老掌柜	40196
武器架	40203
内城狼牙士兵	40204
内城狼牙士兵	40216
茶馆老板	40206
张婆婆	40207
江湖义士	40211
老乞丐	40214
江湖义士	40223
江湖义士	40224
沈飞	40225
丁氏管家	40226
联络使	40228
民女	40240
准星	40262
崔乾佑的宝箱	40269
石柒	40270
春明门守卫	40271
民女	40272
民女	40273
七秀女侠	40275
天策女侠	40276
纯阳女侠	40278
丐帮女侠	40279
李秀才	40274
狼牙校尉	40277
狼	40312
狼	40321
狼	40322
火焰	40343
铜锤	40351
铜锤	40352
鹿	40411
鹿	40412
