Name	RepresentID
伊玛目	33990
陆危楼	33522
阿萨辛	33523
尹放	33524
祭坛标志	25782
炫父祭司	33991
暗母祭司	33992
伊玛目总控	25782
红莲之火	33993
碧落之炎	33994
火雨控制	25782
日月融合控制	25782
天罗焱	33996
天罗焱	33996
渊之尘	33997
灼之烛	33998
伊玛目阶段控制	25782
移形化火技能控制	25782
元火技能控制	25782
火蓝刀锋控制	25782
火焰使者控制	25782
伊玛目的宝箱	33530
祆教使者	34002
祭坛之火	25782
炫父祭司	33991
暗母祭司	33992
安禄山	34054
安禄山的宝箱	33530
肉块	34286
探头探脑的老鼠	34302
乱窜的老鼠	34302
贪吃的老鼠	33526
剑圣	34323
？？？	34321
乱窜的老鼠	34302
丐帮弟子	34344
滑翔器	34345
潜入剧情控制	25782
潜入的丐帮弟子	34350
伊玛目陷阱惩罚	25782
战狼	34408
战狼	34408
战狼	34408
头狼	34409
撼天动地技能控制	25782
嗜血技能控制	25782
头狼一阶段战斗模式转换	25782
安禄山阶段控制	25782
鲜血牢笼控制	25782
大火	25782
安禄山总控	25782
血池喷发控制	25782
踏雪无痕控制	25782
燃血笼锁	33817
血池生成控制	25782
凝血之地	33820
安禄山刷怪控制	25782
狼牙军官	33836
狼牙士兵	34417
狼牙将领	34418
殿顶漏洞	34420
巡逻的狼牙兵	34417
巡逻的狼牙将领	34418
屋顶巡逻士兵	33584
屋顶巡逻士兵	33585
狼牙士兵	33582
狼牙军官	33583
天罗焱	33996
伊玛目元火buff控制	25782
耶律燕	34625
狼牙骑兵	34629
狼牙骑兵	34632
狼牙骑兵	34630
狼牙骑兵	34634
球	34639
小飞侠	34725
拿去	34733
傀儡·天	34833
傀儡·人	34834
傀儡·修罗	34835
傀儡·畜生	34836
傀儡·饿鬼	34837
傀儡·地狱	34838
傀儡丝	35884
地狱恶鬼	35299
针沼	35148
净土	35393
六道技能辅助体	35056
阎罗恶鬼	35395
宝箱	36267
无名	36338
离愁辅助	36459
击鼓手	34753
独孤问俗	34784
李倓	34785
李复	34786
可人	34787
马	34788
狼牙处刑者	34789
狼牙军勇士	34790
狼牙猎头射手	34792
韦柔丝	36244
李裹儿	34793
燕小霞	34794
阳宝哥	34795
秋叶青	34796
郭岩	34797
耶律燕战斗总控	34798
乌鸦	34890
鸟	35057
马球NPC	35112
狼牙士兵	35143
狼牙士兵	35143
傀儡·幻灭	35236
无名	35157
增益·妙手	35160
增益·锁神	35161
增益·弑王	35162
增益·惠风	35163
中性·战和	35164
中性·生死	35165
中性·幻身	35166
中性·修罗	35167
减益·人偶	35168
减益·寂灭	35169
