Name	RepresentID
水箭	30710
琉金旗弓箭手	30711
星木旗弟子	30712
方土旗弟子	30713
洪水旗弟子	30714
星木旗高级弟子	30715
火焰箭矢	30716
巨木	30717
巨木	30588
猪腿	30718
白眉鼠	30719
地雷	30720
问寒松	30721
辛然	30722
吴颖莲	30723
薛山	30724
庄正	30725
西域狮王	30726
小狮子	30727
硫磺	30728
火圈	30729
水柱	30730
目标	30731
巨木总控	30732
1号总控	30733
范围总控	30734
方土刺客	30735
3号总控	30736
3号范围总控	30737
烤肉架	30738
魏中原	30739
沈酱侠	30740
蜥蜴	30741
土	30742
腐烂的猪腿	30743
战前表现	30744
目标2	30745
战后表现	30746
试练奖励宝箱	30747
试练奖励宝箱	30748
试练奖励宝箱	30749
狮王宝箱	30750
干酪	30751
方土旗低级弟子	30752
地雷	30753
箭雨	30754
奇怪的宝箱	30755
有气味的包裹	30756
洞窟食人鳄	30828
欧阳若愚	32262
小巧的宝箱	32263
欧阳若曦	32267
妙火旗弟子	32340
