Name	RepresentID
天一教传教士	7409
天一教验尸官	7457
天一教狂尸	7412
天一教杂役	7432
天一教炼尸者	7447
天一教尸兵	7446
尸熊	7455
天一教剂师	7410
鲍穆侠	7465
鲍风风	7470
小邪子	21554
乌灵风	21552
塔丹茂伯	7464
庚字实验体	7471
断魂尸	21547
玛索	21550
乌灵风	21552
塔丹茂伯	7652
入口剧情总控	7652
一号总控	7652
二号总控	7652
三号总控	7652
侵蚀毒菌	6541
扩散毒菌	6551
包裹	21248
包裹	21248
玛吒斐	24946
未完成的尸人	7487
灵蛇	26475
灵蛇	26476
玛索	26477
娜尤	26489
阿幼朵	26490
凤瑶	26491
纳罗	26494
容夏	26500
玛索的影子	26510
尖吻蝮	26511
铜头蝮	26512
竹叶青	26513
鸟群	26514
黑眉蝮	26517
中介蝮	26518
补天诀	26524
五圣阵·金	26529
神秘的卷轴	26558
五圣阵·木	26531
五圣阵·水	26532
五圣阵·火	26533
五圣阵·土	26534
老鼠	26535
毒气	26554
毒液	26579
玛索	27467
