Name	RepresentID
巨大的灰豹	5079
黑狼蛛	5080
矿场囚犯	658
矿场囚犯	659
矿场囚犯偷懒	659
叛乱囚徒表现2	765
幼小蜘蛛	915
猞猁	844
野狼	3789
铁线蛇	3727
乌鸦	3780
毒虫	3729
老鼠	3730
黄云	5042
鳄鱼	3732
豺狗	3734
奴隶逃兵	3735
小鹿	3736
秃鹫	3776
恶僧人	3745
小青蛙	3787
百岁地蛤	3740
黑衣人	3754
恶狗	3744
食腐鸟	3772
掘墓黑衣人	3760
灰豹	3756
食腐渡鸦	3771
小蛇	3790
蜈蚣	3743
毒蛇	3782
蝎子	3902
幼小狼蛛	3784
蟾蜍	3785
食药蛛	3773
蜈蚣	3786
百草园蟾蜍	3739
公治家警戒者	3748
公治家内院子弟	3749
猞猁	3770
藏宝室色鬼	3778
藏宝室色鬼	2171
丹顶鹤	3742
无骨奴隶	3781
泡澡公子	3766
泡澡公子	1877
泡澡公子	2882
看守财宝的公子哥	3761
金钱豹	3758
菊池香松	3759
赤练蛇	3741
叛乱的囚徒	3765
叛乱的囚徒	765
偷懒的囚徒	3775
铁线蛇王	3774
挖矿恶丐	3777
乞丐儿工头	3767
印度番僧	3792
游荡乞丐	3791
发狂乞丐	3746
鬼祟乞丐	3751
丐将萨多兰	3747
暗杀僧	3738
烧肉僧	3769
烧肉尼姑	3768
火蜥蜴	4205
客卿1	3762
客卿2	3764
奴隶如花	3825
幼狮	3856
卢点苍	3824
天一教巡游	3833
浩气盟俘虏	3854
小猞猁	3855
母狮	3858
雄狮	3859
丹房蜘蛛	3569
地蛤	3863
蜈蚣王	3900
毒蛇王	3901
蜘蛛王	3903
蝎子王	3904
蟾蜍王	3905
采矿奴隶	3925
矿场囚犯	3927
火蝎	4507
巨大的食腐鸟	4539
幼小的鳄鱼	4564
猥琐少年表现2	2171
