Name	RepresentID
胡鞑	7018
武逸青	7019
武逸青	7023
智慧	7671
智慧	23721
智慧	24749
两只蚂蚁	7022
血蝙蝠	7023
穆玄英	24751
谢渊	24779
谢渊	24694
胡鞑	7018
武逸青	7019
智慧	24749
一只蚂蚁	24087
三只凶蚂蚁	24089
二号音波功释放npc	23444
浩气先锋弟子	23725
浩气先锋女弟子	23899
蝙蝠	21080
血蝠侍女	21084
青翼蝠王的祭品箱	23445
白眉	21337
烈火开山雷	21338
白眉	22966
烈火开山雷	22967
白眉鼠王的工具箱	23489
毒物爆裂	23207
智慧遗落的书箱	23445
军需输送使	24549
烟雾蝙蝠	24073
白眉护卫	24001
烟雾鼠王	24074
烟雾智慧	24075
智慧运功	24076
智慧传功僧	24077
埋雷的小喽啰	24078
赵杰阳	24513
杜一凡	24513
汪大炜	24513
战死的浩气弟子	24008
浩气伤兵	23982
浩气女伤兵	23983
浩气伤兵躺	23984
浩气医师	23985
江湖先锋男义士	23986
江湖先锋男义士	23987
江湖先锋男义士	23988
江湖先锋男义士1	23987
恶人谷助拳义士	23988
恶人谷助拳义士	23989
鼠王部众	23990
鼠王亲随	23991
天竺僧卫	23993
天竺僧卫	23992
挖掘苦力	23994
献祭奴隶	23995
死去的奴隶	23996
浩气盟令旗使	23997
马甲智慧王	23721
蝙蝠群	7023
死去的浩气女弟子	24313
死去的地鼠门弟子	24314
地鼠门弟子尸体	24316
