Name	RepresentID
独孤九	71801
行雪	71802
厌夜	71803
桌子	71804
史朝义	71805
史朝义	71867
薛嵩	71806
薛嵩	71868
迟驻	71807
丰年	71808
迟驻	71809
乌承恩	71810
乌承恩近侍	71811
狼牙守卫	71812
新酒	71813
乌重义	71858
周贽	71870
账房	71871
新月卫弟子	71814
厌夜	71815
安小逢	71816
狼牙斧卫	71817
狼牙弓兵	71818
狼牙小头领	71819
狼牙小头领	72044
养马奴隶	71820
耿仁智	71821
乌承恩近侍	71822
程元胜亲信	71823
厌夜	71824
厌夜	71869
养马奴隶表现_昏迷	71875
马厩守卫	71879
狼牙伍长	71987
狼牙弓兵	71989
狼牙骑兵	71990
狼牙刀兵	71988
驿馆老仆	71993
驿馆侍女	71995
更夫	71994
账房	72019
厌夜	71815
厌夜	71815
渊府良马	72020
渊府良马	72021
渊府良马	72022
渊府良马	72023
渊府良马	72024
渊府良马	72025
渊府良马	72026
渊府良马	72027
渊府良马	72028
狼牙驯狼	72038
行雪	71802
车	72040
尹雪尘	72041
