Name	RepresentID
柳鸾旗	57492
雷蛇	57493
肆虐	36530
柳鸾旗技能控制	36530
雷食兽	57494
柳鸾旗总控	36530
阶段控制	36530
二阶段落雷控制	36530
落雷	58779
雷池	57547
幻境迷云	58786
幻境魔影	57559
幻境分身	57564
伊玛目	57643
伊玛目总控	36530
火雨控制	36530
伊玛目技能控制	36530
掉落火球控制	36530
祆教使者	57648
火雨	57649
小火焰	57650
掉落的火球	57651
伊玛目刷使者控制	36530
伊玛目元火控制	36530
滚石	57866
伊玛目的宝箱	47959
柳鸾旗区域表现控制	36530
猛烈	57920
二阶段柳鸾旗龙卷风	57952
幻境技能控制	36530
石块	57977
飞升石块控制	36530
柳鸾旗	57492
雷火	58873
屋顶天雷	36530
柳鸾旗的宝箱	47959
柳五爷	58109
月弄痕	58011
柳秀岳	58041
木材	58913
合金块	58074
寒水石	58122
硫磺岩	58075
土块	58076
雷溶石	58080
雷霆天针	58081
麒麟矿车	58083
麒麟矿车	58117
麒麟矿车	58118
麒麟矿车	58119
麒麟矿车	58121
柳惊涛	58024
霸刀弟子	58057
郭澄	58112
杨青月	58026
柳丰衣	58091
霸刀锻造师	58107
麒麟矿车	58123
轨道机关	58534
柳秀岳的宝箱	47959
法健公	58885
血刀卫	58860
血刀卫	58861
血刀卫	58882
血刀卫	58883
实验火矿车	58895
实验金矿车	58896
实验木矿车	58897
实验水矿车	58898
实验土矿车	58899
王大川	58900
实验废铁	58909
法健公控制	58912
宝箱	61484
麒麟矿车·金	68737
麒麟矿车·木	68738
麒麟矿车·水	68739
麒麟矿车·火	68740
麒麟矿车·土	68741
