Name	RepresentID
李复	39605
隐元会联系人	39615
穆玄英	39606
莫雨	39607
陈月	39608
神秘老者	40067
天字零号	39609
隐元会暗杀者	39560
狼牙精锐盾兵	39561
狼牙精锐枪兵	39563
狼牙精锐刀兵	39564
狼牙精锐队正	39565
无名	38061
傀儡·阳	38062
傀儡·阴	38063
傀儡·噬	38064
阵法·乾	38065
阵法·坤	38066
阵法·坎	38067
阵法·离	38069
阵法·巽	38070
阵法·兑	38071
阵法·震	38072
阵法·艮	38073
地字一号	39092
隐元会暗杀者	39099
毒鸩	39100
夜雪释放控制	39101
战斗范围总控	39102
BOSS流程总控	39103
黑鹰	39128
飞禽·恨	39129
飞禽·愁	39130
黑鹰	39131
黑鹰	39137
邪影	39156
十二相·子	39141
十二相·丑	39142
十二相·寅	39143
十二相·卯	39144
十二相·辰	39145
十二相·巳	39146
十二相·午	39147
十二相·未	39148
十二相·申	39149
十二相·酉	39150
十二相·戌	39151
十二相·亥	39152
愁城	39138
史朝义	37734
狼牙盾兵	38031
狼牙枪兵	38038
狼牙射手	38039
炸药补给兵	39179
地刺补给兵	39180
焦油补给兵	39181
地刺补给车	39624
焦油补给车	38086
硝炎战狼	38042
傀儡残骸	38125
狼牙军备	38083
战旗	38084
炮台底座	38095
炮台	38104
临时工	38110
念念	38112
史朝义	39270
史朝义	39271
天字零号	38113
无名之影	39414
气劲标识	38135
气劲标识	38136
气劲标识	38139
气劲标识	39990
寒冰	39161
掩藏在风雪中的宝藏	39175
焦油	39366
炸药桶	39210
地刺	39269
刺客	39435
刺客	39436
精准炮台	39204
强击炮台	39205
Boss总控	39207
刷兵控制	39208
刺客刷兵控制	39209
傀儡·幽冥	39643
小玄	39633
天字零号	39603
李复	39604
李复	39611
神秘老者	39610
小喵	39614
黑鹰	39623
宝箱	39634
狼牙禁卫军	39638
狼牙禁卫军	39637
宝箱	39673
天字叁捌	40112
无名	39993
天字零号	39994
天字肆零柒	40070
霍正军	40075
莫寻常	40076
钟一洋	40077
杜森	40078
风筝	40081
天字肆叁零	40171
狼牙先锋	40372
狼牙潜伏者	40398
陷坑	40399
狼牙近卫	40565
黑鹰刺客	40564
八卦幻影	40575
史朝义	40582
重弩	40586
