Name	RepresentID
骏马	4899
骏马	4898
牛	4904
长空令	4922
周杰	4975
周丽波	4976
陈文亮	4977
小二	4978
伤员	4979
正智堂弟子	5006
正智堂弟子	5007
正宽堂弟子	5008
正宽堂弟子	5009
正明堂弟子	5010
正义堂弟子	5011
正仁堂弟子	5012
正道堂弟子	5013
正道堂弟子	5014
正静堂弟子	5015
正静堂弟子	5016
天璇坛精锐护卫	5018
天璇坛精锐护卫	5019
正隐堂弟子	5020
正杀堂弟子	5021
正杀堂弟子	5023
小兔子	5032
小狗	5031
白毛鹦鹉	5034
女童	5048
男童	5049
天璇坛文华使	5088
天玑坛文华使	5083
天权坛文华使	5084
玉衡坛文华使	5085
开阳坛文华使	5086
摇光坛文华使	5087
天枢坛文华使	5091
封伯	504
穆空山	3955
侯新雨	4035
叶知秋	4124
雁北村民	4116
雁北村民	4117
林浩	4082
柳初雪	4084
柳初雪	4165
叶梓山	4126
叶梓山	4164
司空仲平	4166
七曜判	4091
七曜判	4098
慕青虹	4087
冶剑庐护卫	4121
可人	4080
青莲居士	4099
紫烟	4153
赵湘芦	4144
疏影	4106
暗香	3982
绿玉	4085
无心	4127
书生	4105
天歌道长	4112
白羽	3984
薄清波	3986
白开心	3983
萧新	4135
谢天	4137
王翰	4125
天枢坛武德使	4148
天璇坛武德使	4149
天玑坛武德使	4115
天权坛武德使	4146
玉衡坛武德使	4136
开阳坛武德使	4079
摇光坛武德使	4120
秋梦歌	4100
玉儿	4130
叶海棠	4122
元风狱守	4138
司空燕	4102
柳残阳	4083
静儿	4061
慕青云	4088
种药童子	4145
种药童子	4147
朱真木	4150
陶九安	4111
五袋守卫弟子	4131
五袋执法弟子	4133
岳钟奇	4140
唐羽	4110
唐珂	4109
唐吉	4108
唐德	4107
玛尤	4086
彩尤	4005
卓德保	4152
妮罗	4093
金玉卡	4059
银玉卡	4128
榜彩婆婆	3985
蟾仙长者	4006
蟾仙村民	4009
蟾仙村民	4011
慧君	4048
道思	4033
道念	4030
图律	4123
虎女	4037
阿雪	3981
张桎辕	4142
翟季真	4141
月弄痕	4139
影	4129
天权坛护卫	4103
天权坛护卫	4143
天枢坛护卫	4156
天枢坛护卫	4154
摇光坛护卫	4118
摇光坛护卫	4119
玉衡坛护卫	4132
玉衡坛护卫	4134
天枢坛精锐	4151
天枢坛精锐	4155
天玑坛精锐	4113
天玑坛精锐	4114
谢渊	4104
受伤的冶剑庐护卫	4101
天罡卫	4157
柳初雪	4084
柳初雪	4165
馒头	4314
烟花	4316
孟繁星	4324
幻灵蛛后	4525
幻灵幼蛛	4526
幻灵蜈后	4527
幻灵幼蜈	4528
幻灵蟾母	4529
幻灵幼蟾	4530
幻灵蝎王	4531
幻灵幼蝎	4532
幻灵蛇王	4533
幻灵幼蛇	4534
天枢坛护卫	4553
张桎辕	2145
七星卫	3579
总控张桎辕	5723
阵营BOSS战斗区域总控	5573
浩气盟守卫	40052
