Name	RepresentID
蟾蜍	21378
野牛	21382
雄鹿	21385
雌鹿	21386
幼鹿	21387
雌牛	21384
小牛	21383
小猴	21376
雪豹	21388
白鸟群	21389
黑鸟群	21390
滇金丝猴	21375
幼猴	21376
新建	21405
鸟	21394
白鸽	21395
白鹦鹉	21396
红鹦鹉	21398
灰鹰	21400
test彩虹	21401
受到惊吓的飞鸟	21406
毒水瘴气	21407
猎鹰	21408
狂风	21409
沼泽飞虫	21410
风卷尘	21411
工地沙瀑	21412
治疗圣光	21435
野羚	21645
野羚	21646
野羚	21647
野羚表现	21646
野羚表现1	21647
风吹叶	21678
爬虫巢	21755
耕牛	22008
毒池水泡	22019
鬼火	22037
古墓水雾	22041
古墓毒雾	22040
古墓层雾	22039
蜥蜴	22076
鹤	22614
孔雀	22615
巨剑	22619
印支虎	21372
雌虎	21379
幼虎	21380
鼠	21381
野兔	21373
被感染的野兔	21374
金丝猴	21375
猿	21392
水蛇	21377
