Name	RepresentID
英怀珠	32774
乐师·古筝	32878
乐师·横笛	32881
乐师·琵琶	32883
乐师·编钟	32885
王三金	32771
三号BOSS剧情总控	30064
安禄山	32778
安禄山	33971
安禄山	32779
侍女	32780
侍女	32781
侍女	32782
汤池区校尉	33850
汤池区骑尉	35173
汤池区护卫	33849
3号BOSS范围总控	25434
蒙面人	32787
安禄山侍卫	32788
地上标记	33976
安禄山	34005
英怀珠总控	32792
梨园守卫	32793
斗鸡	32869
高力士	33963
英怀珠范围总控	33367
高力士范围总控	34722
斗鸡	32869
斗鸡	32869
斗鸡	32869
高力士	34466
高力士	34467
鲁莽一掷特效	34346
双袖寰宇小一圈	34813
双袖寰宇小二圈 	34814
双袖寰宇小三圈 	34815
双袖寰宇小四圈 	34816
乐阵	34284
华清宫守卫	35172
长枪守卫	35158
禁军武卫	35159
养鸡人	35283
官员	35284
官员	35286
座椅	35422
斗鸡	35424
宝箱	35546
宝箱	35549
宝箱	35548
舞女	35843
舞女	35845
舞女	35846
舞女	35847
宫女	35844
歌女	35879
歌女	35880
歌女	35881
舞姬	35882
舞女	35883
官员	35953
侍女	35965
富家小姐	36022
打水仗红萝莉	36029
打水仗绿萝莉	36030
宫女	36031
皓戈	36859
舞女	36333
舞女	36334
舞女	36335
舞女	36336
画师	36986
贵族小姐	36988
七秀弟子	37001
宫女	37000
隐元会密使	67160
