Name	RepresentID
测试小牛	53088
弱小的魂灵	53149
坚韧的魂灵	53152
强大的魂灵	53153
阴阳之力	53133
魂匣	53316
雷狮	53105
霜狼	53106
小黄	53107
寒冰之王	53108
小红	53109
小白	53110
二旺	53111
小黑	53112
风怒熊	53113
有信	53114
无痕	53115
红羽大将军	41274
煌煌	53117
静静	53118
精制·年	53119
灰狐	53120
月光	53121
九灵	53122
葫芦	53123
小诺	53124
如意	53125
驭兽本体	53126
陷阱	53141
陷阱	53142
陷阱	53140
陷阱	53143
陷阱	53144
陷阱	53145
陷阱	53146
南宫麒	53206
魂匣	53322
弱小的魂灵	53293
阴阳之力	53294
弱小的化形魂灵	53165
坚韧的化形魂灵	53166
强大的化形魂灵	53167
秦玉川	53176
雪心狐	53174
艺人伴奏NPC1	53200
艺人伴奏NPC2	53201
艺人伴奏NPC3	53202
艺人伴奏NPC4	53203
化形魂灵	53296
陷阱	53299
陷阱	53300
陷阱	53303
陷阱	53302
陷阱	53302
陷阱	53304
陷阱	53305
陷阱	53306
薛伶官	53335
薛伶官	53336
薛伶官	53357
李放	53337
愤怒的魂灵	53344
绿林	53346
镖师	53348
镖师	53353
绿林	53600
南宫麒	53607
阿飞	53609
冰块	53608
专属座椅	53635
浑浑噩噩的魂灵	54591
冰域邪王虎	55392
秦玉川	55340
浑浑噩噩的魂灵	56820
浑浑噩噩的魂灵	56821
浑浑噩噩的魂灵	56822
宝箱	57045
板凳	66953
木武童	66969
