Name	RepresentID
铁狱方体	61727
月华	61725
狼头	62022
铁板烧	61729
地刺	61730
死徒人偶	61783
死亡螺旋	61737
困兽囚笼	61742
乌夜啼	61753
月泉淮	61732
易燃液	61739
易燃液	61740
易燃液	61741
蓄积的内力	61743
心魔	61747
精英心魔	61748
心魔	61749
精英心魔（废弃）	61750
心魔	61751
精英心魔（废弃）	61752
拉杆	61754
暗月血球	61765
幻境入口	62017
庄愈华	61756
百慕玲	61757
幽冥禁锢	62019
乌夜啼	61759
乌夜啼	62230
东海剑阵	62178
门开关	62026
精英幻境入口	62015
暗器车	61772
爆弹车	61771
暗器堆	61773
秘制冰髓毒爆弹	61770
火药陷阱	61774
乌夜啼	61776
岩鬼	61821
雾气	61805
月泉淮	61859
幻念剑气	61860
可人	61880
穆玄英	61881
郭岩	61882
独孤九	61885
柳静海	61884
郭珠	61886
德夯	61887
曲云	61888
狼牙精锐	61889
崔乾佑	61891
章东恩	61893
恶人“如疯”	62082
朱海浩	62083
狼牙狱卒	62084
狼牙狱卒伍长	62085
墙刺	62095
乌夜啼	62101
红衣教男弟子变装	62107
红衣教女弟子变装	62108
红衣教萝莉变装	62119
红衣教正太变装	62133
铁狱箭	62135
炼丹炉	62149
东海剑阵	62178
渤海的贡品	62184
狼牙生存精锐	62186
狼牙狙杀弓卫	62187
狼毒暗卫	62189
狼牙精英弓卫	62190
狼牙精锐刀卫	62191
夜眼	62193
红衣教幻咏女祭司	62201
红衣教无生教徒	62202
红衣教印邪教众	62203
暗蝎	62215
狼牙守备官	62216
狼牙探子	62217
疲劳的铁匠	62218
柳铁柱	62239
李食天	62243
郭思国	62244
狼牙精锐步兵	62246
狼牙高阶军官	62253
狼牙谋士	62254
狼牙冲撞禁卫	62247
狼牙军士	62248
狼牙厨师	62250
被俘虏的中原厨师	62251
狼厨神	62255
红玉秘药使者	62245
狼牙军士	62249
红衣教炼药师	62256
红衣教低阶教徒	62257
狼牙翡翠秘宝	62259
狼牙珍珠秘宝	62260
狼牙铂金秘宝	62261
狼牙翡翠秘宝	62262
狼牙翡翠秘宝	62266
狼牙翡翠秘宝	62267
狼牙珍珠秘宝	62268
狼牙珍珠秘宝	62269
狼牙鹰眼弓卫	62272
狼牙残忍屠夫	62273
深槽狼头机关	62277
圆框狼头机关	62278
月影天华阵	62324
奇怪的黑猫	62328
夜薙之手	62329
狼牙验药者	62583
狼牙验药者	62584
出血角	62587
岩鬼	62589
乌夜啼宝箱1	59015
乌夜啼宝箱2	59015
乌夜啼宝箱3	59015
乌夜啼宝箱4废弃 (60172)	59015
乌夜啼宝箱5废弃 (60173)	59015
乌夜啼宝箱6废弃 (60174)	59015
迷幻的士兵	62611
桃刃	62681
霍勤	62671
曲云和德夯	62675
月华宝箱1	59015
月华宝箱2	59015
月华宝箱3	59015
机关阵宝箱1	59015
机关阵宝箱2	59015
机关阵宝箱3	59015
剑阵宝箱1	59015
剑阵宝箱2	59015
剑阵宝箱3	59015
月泉淮宝箱1	59015
月泉淮宝箱2	59015
月泉淮宝箱3	59015
通关宝箱	59015
逆尸之触	62702
可人的赠物	62893
郭珠的赠物	62894
五毒的礼品	62895
