Name	RepresentID
乌索	63062
乌索	63063
乌索	63064
史思明	63065
毒腺骤雨	63066
毒腺骤雨	63067
十方藏杀_血池	63069
乌索	63070
乌索	63071
飞虫	63072
旋石	63073
旋石	63074
淤泥	63075
淤泥	63076
淤泥	63077
淤泥	63078
靳空明	63079
狼神枪盾禁卫	63080
狼神枪盾禁卫	63081
狼神弓卫	63082
突袭军狼	63083
穆玄英	63084
练血之奴	63086
迷乱之奴	63087
狂乱巨鳄	63088
血奴	63089
可人	63090
曲云	63091
德夯	63092
崔乾佑	63093
易祖	63094
王家名厨	63095
狼牙内官	63096
婢女	63097
被胁迫的女子	63098
妃子	63099
被奴役的女子	63100
狼牙御皇精英	63101
狼牙猎头队长	63102
狼牙精锐禁卫	63103
狼牙禁卫统领	63104
被囚禁的女子	63105
一流厨师	63106
狼牙官员	63107
易尤	63108
耿仁智	63109
夜眼	63110
妃子	63111
官员	63112
狼牙嗜血禁卫	63113
破军狼	63114
高丽官员	63115
大和使者	63116
渤海国使者	63117
狼牙军臣	63118
狼牙精锐禁卫	63119
狡狐	63120
狼牙禁军校尉	63121
章东恩	63122
史朝义	63124
田承嗣	63125
骆悦	63126
周子俊	63127
巫尸毒虫	63128
腐毒半尸	63129
实验用的猴子	63130
狼神弓卫	63135
狼神令使	63136
狼牙狙命弓卫	63137
乌蒙贵	63138
无支祁	63139
慕容追风	63140
奄奄一息的小女孩	63141
裂缝	63142
岩鬼	63144
幻影飞虫	63145
幻影飞虫	63146
柳随风	63256
靳空明宝箱1	59015
靳空明宝箱2	59015
靳空明宝箱3	59015
乌索宝箱1	59015
乌索宝箱2	59015
乌索宝箱3	59015
史思明宝箱1	59015
史思明宝箱2	59015
史思明宝箱3	59015
通关宝箱	59015
精致的长匣	63260
狼牙铂金宝箱	63261
曾继芳	63272
