Name	RepresentID
狼牙弓手	59312
石斑	59316
火石	59319
石斑势大力沉	36530
飞石	59340
修理机甲	59352
激光发射器	59948
雷光	59353
石斑喷射	59355
火焰	59364
箭弩台	59389
炮台	59399
炮弹	59400
李令霞	59419
李令霞	59421
李令霞	59475
地陷	59452
剑域	59474
血量平衡	59473
总控	59441
结束控制	59472
技能控制_天	59470
技能控制_地人	59469
狂暴控制	59468
司晴	59602
自爆僵尸	59586
分身僵尸	59587
分身	59588
分身僵尸	59608
司晴的宝箱	59603
幽寒境	59688
天山弟子	59689
天山弟子	59690
天山弟子	59691
天山弟子	59692
天山弟子	59693
独孤云	60050
柳随风	59609
曲云	59612
柳静海	59611
独孤九	59610
德夯	59614
司徒一一	60132
狼牙弓箭手	60151
狼牙首领	60174
狼牙守卫(作废)	60260
狼牙巡逻兵	60243
狼牙伏击者	60261
转阶段地爆	60136
投石车	60170
火弹	60172
独孤九	60176
柳静海	60177
铁石	60188
狼牙铁卫	60215
苦力	60323
狼牙监工	60324
狼牙守卫	60325
曲云	60337
德夯	60338
天山弟子	60339
旋转爆裂球	60400
天地玄幻雷	60387
御龙兵甲	60388
御龙兵甲废弃	60389
狼牙守卫	60403
曲云	61157
柳十七	61445
大雕	61446
宝箱	61484
郭岩	53594
郭珠	61486
尹放	61487
可人	61488
毛毛	61489
