Name	RepresentID
洛阳路人 （老徐版本_自动寻路）	53150
唐军盾兵	54356
刀盾兵	54379
弓箭手	54526
枪兵	54378
骑兵	54345
唐军弓手	54435
小福	54554
狼牙	55650
狼牙	54555
狼牙投石车	54589
狼牙辎重车	54650
狼牙弩车	54654
唐军突袭士兵	54662
狼牙辎重	54649
狼牙弓箭手	54588
狼牙士兵	54587
瑶瑶	54693
唐军弓箭手	54744
唐军士兵	54745
狼牙弓箭手	54729
狼牙士兵	54730
狼牙辎重	54728
唐军士兵	54746
唐军弓箭手	54743
狼牙弓箭手	54749
狼牙士兵	54748
狼牙弩车	54747
狼牙壁垒	56148
唐军壁垒	54762
狼牙军壁垒	54759
唐军壁垒	54760
唐军士兵	54763
唐军弓箭手	54764
唐军投石车	54765
唐军弩车	54766
唐军壁垒	54767
狼牙士兵	54768
狼牙弓箭手	54776
狼牙投石车	54777
狼牙弩车	54778
狼牙壁垒	54779
唐军士兵	54784
唐军弓箭手	54785
唐军投石车	54788
唐军弩车	54791
唐军壁垒	54787
狼牙弓箭手	54769
狼牙士兵	54790
狼牙投石车	54789
狼牙弩车	54792
狼牙壁垒	54786
狼牙士兵	54771
狼牙弓箭手	54770
狼牙枪兵	54772
唐军弓箭手	54774
唐军士兵	54775
唐军云梯	54780
唐军盾兵	54781
唐军士兵	54782
唐军弓箭手	54783
唐军辎重	54793
狼牙暗狩小头目	54834
叶炜	54891
叶炜	54892
叶琦菲	54893
藏剑弟子	54899
藏剑弟子	54900
藏剑弟子	54901
码头工人	54894
码头工人	54895
狼牙探子	54898
牛思兰	56593
狼牙暗狩	54903
藏剑弟子	54904
藏剑文书	54909
工头	54910
叶源	54913
侠士	54919
源源	54950
雄雄	54949
万骑卿卫 	54932
住持	54938
武僧	54939
武僧	54940
武僧	54941
武僧	54942
武僧	54943
武僧	54944
武僧	54945
武僧	54946
武僧	54947
武僧	54948
赤蟒	54936
广平亲卫	54934
太监	54951
扫地僧	54953
狼牙守卫	54966
禁军守卫	54967
阴阳师	54972
聚灵球	54971
小聚灵球	54984
藏剑弟子	55012
僧人	55013
何尚泽	55017
叶雪	55057
狼牙护卫枪兵	55058
小和尚	55076
侠士	55078
万花弟子	55079
狼牙护卫弓箭手	55098
唐军护卫枪兵	55099
唐军护卫弓箭手	55100
李俶	55092
李复	55093
李倓	55094
柳静海	55096
长孙忘情	55097
石弹	55324
霸刀弟子	55101
柳柒柒	55117
柳飞云	55118
霸刀弟子	55119
刘行梁	55150
赵儒陶	55151
刘至朝	55152
凌洪豪	55153
蝴蝶	55156
蝴蝶	55157
凤息颜	55158
阿察扑萄	55169
李承寀	55190
李无衣	55202
曹雪阳	55200
李承恩	55201
燕忆眉	55203
废弃	55204
杨逸飞	55205
苍云弟子	55208
天策弟子	55206
长歌弟子	55209
狼牙运输兵	55242
军械运输牛车	55243
军械运输牛车	55291
刀谷弟子	55264
狼牙喷火兵	55275
药罗葛·莫贺	55335
药罗葛·沁岚	55337
洛阳站岗守卫	55342
洛阳守卫	55343
狼牙守卫	55376
狼牙护卫	55378
狼牙护卫	55386
狼牙护卫	55388
上阳宫禁卫	55379
狼牙刺客	55380
骑兵巡逻	55382
狼牙辎重苦工	55389
狼牙辎重苦工	55390
狼牙辎重苦工	55391
唐军云梯	55398
狼牙奸细	55400
狼牙护卫弩兵	55415
唐军护卫弩兵	55424
尹小荷	55425
包打听	55991
唐书雁	55428
郭子仪	55429
独孤九	55430
叶寻	55431
阿提察尔	55432
唐军攻城精锐	55450
回纥探子	55433
何方易	55434
陈月	56141
长孙笑	56143
何钱	54937
回纥士兵	55436
老母鸡	55437
郭曜	55438
郭晞	55442
义军	55444
洪笑尘	55445
义军	55446
尹放	55447
郭珠	55990
李老夫人	55448
白辛夷	55451
独孤九	55530
叶炜	55531
叶炜	55532
柳静海	55535
柳静海	55534
叶琦菲	55544
回纥士兵	55568
吴员外	55569
吴宅家丁	55570
明教弟子	55651
明教弟子	55571
护院	52551
宋征	55573
回纥将领	55574
回纥士兵	55575
赵竞远	55576
梅尧	55577
摩伊	55572
小蓉	52555
李泌	55633
回叶	55646
狼牙刀牌手	55652
避难女子	52554
回纥精兵	55667
索提	55668
避难女子	55669
麦力克	55670
古达妥尔	55671
伤兵	41964
伤兵	41965
伤兵	41966
尹放	55673
赵竞远 	55675
避难女子	42141
避难女子	55683
摩伊	56065
回纥管事	56066
唐军刀牌手	55975
狼牙百夫长	55987
唐军队正	55989
账房	55974
账房	55976
狼牙精锐	56014
狼牙弓箭手	56045
唐军弓箭手	56046
狼牙枪兵	56047
唐军枪兵	56048
狼牙弩手	56051
唐军弩手	56050
鸽笼內监	56061
信鸽	56062
宋征	56064
乌垭	56067
葛利乌晶	48298
回纥士兵	56068
回纥战马	56069
回纥战马	56070
回纥士兵	56071
回纥士兵	56087
回纥文书	56072
回纥文书总管	56073
任务换模1	56075
任务换模2_男	56074
锦花夫人	56077
沈黛衣	56078
药罗葛·莫贺	56080
回纥士兵	56094
回纥士兵	56095
回纥将领	56096
回纥将领	56097
包打听	56098
黛罗丝	56100
客人	56105
客人	56106
客人	56108
机关小鸟	56107
客人	56109
客人	56110
客人	56111
客人	56112
客人	56113
客人	56114
客人	56115
客人	56116
客人	56117
客人	56118
客人	56119
客人	56120
客人	56121
客人	56122
客人	56123
客人	56125
码头工人	56149
码头工人	56150
狼牙枪兵	56158
狼牙刀盾兵	56159
唐军枪兵	56161
唐军刀盾兵	56160
唐军突击枪兵	56164
狼牙突击枪兵	56165
唐军突击刀牌手	56163
狼牙突击刀牌手	56162
衙役	56166
大理寺丞	56167
杜秋庭	56168
将军	56169
文书	56170
文书	56182
主簿	56171
薰儿	56172
施儿	56173
昭儿	56174
蝉儿	56175
环儿	56176
回纥士兵	56177
回纥士兵	56178
阿提察尔	56179
唐军士兵	56180
唐军士兵	56181
百姓	56183
百姓	56184
秦可帧	56186
叶寻	56187
哥老头	56194
传令兵	56208
捕快	56553
狼牙弩手	56554
狼牙弓箭手	56555
唐军弓箭手	56556
唐军弩手	56557
狼牙破阵刀手	56558
唐军破阵刀手	56563
洛水龟	56850
顾淮	57026
崔器	57249
成北	56888
陈枚	56889
杜可	56890
达英	56891
施白	56892
安韶	56893
蒋智	56943
游击营指挥使	56948
陷阵营军士	54340
破军营军士	57155
血羽营军士	57161
游击营指挥使	56948
百成	56952
应君堂	56953
商白	56954
柳安安	56955
闹事书生	57027
闹事书生	57007
闹事书生	57024
闹事书生	57025
闹事书生	57017
璇雅	57008
玥思	57009
语素	57010
石远	57011
寒伯	57012
杨青寒	57013
阮言	57014
高远伦	57015
何启为	57016
守卫	57259
秦可帧	57262
蒙面高手	56185
守卫队长	57020
燕不平	56956
监斩官	57019
妙空儿	57021
妙空儿	57268
秦家老仆	57018
唐书雁	57202
胡审心手下	57237
胡审心	57239
陈月	57240
塔纳	57241
塔纳	57242
塔纳	57243
独孤九	57244
刽子手	57261
叶寻_被抱	57284
唐书雁_抱	57285
