MapName	TabFileName
100小橙武任务	100XiaoChengWuRenWu.tab
10人挑战太原之战_夜守孤城	10RenTiaoZhanTaiYuanZhiZhan_YeShouGuCheng.tab
10人挑战太原之战_逐虎驱狼	10RenTiaoZhanTaiYuanZhiZhan_ZhuHuQuLang.tab
10人挑战永王行宫_花月别院	10RenTiaoZhanYongWangXingGong_HuaYueBieYuan.tab
10人挑战永王行宫_仙侣庭园	10RenTiaoZhanYongWangXingGong_XianLvTingYuan.tab
10人英雄荻花圣殿	10RenYingXiongDiHuaShengDian.tab
10人烛龙殿	10RenZhuLongDian.tab
25人龙渊泽	25RenLongYuanZe.tab
25人普通敖龙岛	25RenPuTongAoLongDao.tab
25人普通持国天王殿	25RenPuTongChiGuoTianWangDian.tab
25人普通荻花圣殿	25RenPuTongDiHuaShengDian.tab
25人普通范阳夜变	25RenPuTongFanYangYeBian.tab
25人普通宫中神武遗迹	25RenPuTongGongZhongShenWuYiJi.tab
25人挑战永王行宫_花月别院	25RenTiaoZhanYongWangXingGong_HuaYueBieYuan.tab
25人挑战永王行宫_仙侣庭园	25RenTiaoZhanYongWangXingGong_XianLvTingYuan.tab
25人英雄敖龙岛	25RenYingXiongAoLongDao.tab
25人英雄荻花圣殿	25RenYingXiongDiHuaShengDian.tab
25人英雄范阳夜变	25RenYingXiongFanYangYeBian.tab
25人英雄会战唐门	25RenYingXiongHuiZhanTangMen.tab
25人英雄龙渊泽	25RenYingXiongLongYuanZe.tab
25人英雄烛龙殿	25RenYingXiongZhuLongDian.tab
70级野外阵营pvpNPC	70JiYeWaiZhenYingpvpNPC.tab
80安史之乱天策	80AnShiZhiLuanTianCe.tab
80橙武任务	80ChengWuRenWu.tab
80级属地据点NPC	80JiShuDiJuDianNPC.tab
80小橙武任务	80XiaoChengWuRenWu.tab
90小橙武任务	90XiaoChengWuRenWu.tab
95级声望相关	95JiShengWangXiangGuan.tab
95小橙武任务	95XiaoChengWuRenWu.tab
ACT_100级PQ	ACT_100JiPQ.tab
ACT_100级主城茶馆	ACT_100JiZhuChengChaGuan.tab
ACT_19年大师应援npc	ACT_19NianDaShiYingYuannpc.tab
ACT_2013年夜饭	ACT_2013NianYeFan.tab
ACT_95级黑戈壁阵营活动	ACT_95JiHeiGeBiZhenYingHuoDong.tab
ACT_95级门派事件	ACT_95JiMenPaiShiJian.tab
ACT_95级主城茶馆	ACT_95JiZhuChengChaGuan.tab
Act_安史之乱预热	Act_AnShiZhiLuanYuRe.tab
ACT_霸刀预热	ACT_BaDaoYuRe.tab
ACT_苍云预热	ACT_CangYunYuRe.tab
ACT_长安内城	ACT_ChangAnNeiCheng.tab
ACT_长歌预热	ACT_ChangGeYuRe.tab
ACT_场景预热	ACT_ChangJingYuRe.tab
ACT_地脉勘测	ACT_DiMaiKanCe.tab
Act_动态城镇	Act_DongTaiChengZhen.tab
ACT_风雷刀谷预热	ACT_FengLeiDaoGuYuRe.tab
ACT_峰值201611	ACT_FengZhi201611.tab
ACT_峰值活动	ACT_FengZhiHuoDong.tab
ACT_花朝节	ACT_HuaChaoJie.tab
ACT_家园管家	ACT_JiaYuanGuanJia.tab
ACT_浪客行	ACT_LangKeXing.tab
ACT_狼牙堡预热	ACT_LangYaBaoYuRe.tab
ACT_令狐伤的进击	ACT_LingHuShangDeJinJi.tab
Act_流寇入侵	Act_LiuKouRuQin.tab
Act_门派入侵	Act_MenPaiRuQin.tab
ACT_明教预热	ACT_MingJiaoYuRe.tab
ACT_女侠节	ACT_NvXiaJie.tab
ACT_世外蓬莱预热	ACT_ShiWaiPengLaiYuRe.tab
ACT_四月洛阳	ACT_SiYueLuoYang.tab
Act_挑战策划	Act_TiaoZhanCeHua.tab
ACT_通用PQ	ACT_TongYongPQ.tab
ACT_五月霸王擂预热	ACT_WuYueBaWangLeiYuRe.tab
ACT_系统活动	ACT_XiTongHuoDong.tab
ACT_雪雪养成	ACT_XueXueYangCheng.tab
ACT_血战天策预热	ACT_XueZhanTianCeYuRe.tab
ACT_押镖活动	ACT_YaBiaoHuoDong.tab
ACT_一传十	ACT_YiChuanShi.tab
Act_幽陵劫潮	Act_YouLingJieChao.tab
Act_元宵节	Act_YuanXiaoJie.tab
Act_运营活动通用	Act_YunYingHuoDongTongYong.tab
ACt_愚人节	ACt_YuRenJie.tab
ACT_战乱东海预热	ACT_ZhanLuanDongHaiYuRe.tab
ACT_真功夫	ACT_ZhenGongFu.tab
ACT_阵营日常	ACT_ZhenYingRiChang.tab
ACT_周年庆活动	ACT_ZhouNianQingHuoDong.tab
安史之乱枫华谷	AnShiZhiLuanFengHuaGu.tab
安史之乱_长安	AnShiZhiLuan_ChangAn.tab
安史之乱_洛阳	AnShiZhiLuan_LuoYang.tab
敖龙岛	AoLongDao.tab
霸刀山庄	BaDaoShanZhuang.tab
百草园	BaiCaoYuan.tab
白帝水宫	BaiDiShuiGong.tab
白龙口PQ	BaiLongKouPQ.tab
白龙口任务敌对NPC	BaiLongKouRenWuDiDuiNPC.tab
白龙口任务友善NPC	BaiLongKouRenWuYouShanNPC.tab
巴陵敌对NPC	BaLingDiDuiNPC.tab
巴陵友善NPC	BaLingYouShanNPC.tab
帮会	BangHui.tab
帮会冰火岛_荒血路	BangHuiBingHuoDao_HuangXueLu.tab
帮会冰火岛_青莲狱	BangHuiBingHuoDao_QingLianYu.tab
帮会风雷刀谷_锻刀厅	BangHuiFengLeiDaoGu_DuanDaoTing.tab
帮会风雷刀谷_千雷殿	BangHuiFengLeiDaoGu_QianLeiDian.tab
帮会家园	BangHuiJiaYuan.tab
帮会狼牙堡_辉天堑	BangHuiLangYaBao_HuiTianQian.tab
帮会狼牙堡_狼神殿	BangHuiLangYaBao_LangShenDian.tab
帮会狼牙堡_燕然峰	BangHuiLangYaBao_YanRanFeng.tab
帮会狼牙堡_战兽山	BangHuiLangYaBao_ZhanShouShan.tab
帮会擂台	BangHuiLeiTai.tab
帮会上阳宫_观风殿	BangHuiShangYangGong_GuanFengDian.tab
帮会上阳宫_双曜亭	BangHuiShangYangGong_ShuangYaoTing.tab
帮会天工树三期	BangHuiTianGongShuSanQi.tab
帮会田园	BangHuiTianYuan.tab
帮会押镖	BangHuiYaBiao.tab
帮会永王行宫_花月别院	BangHuiYongWangXingGong_HuaYueBieYuan.tab
帮会永王行宫_仙侣庭园	BangHuiYongWangXingGong_XianLvTingYuan.tab
帮会约战	BangHuiYueZhan.tab
帮会约战擂台	BangHuiYueZhanLeiTai.tab
北邙山	BeiMangShan.tab
逼婚GWW	BiHunGWW.tab
冰火岛_冬莲狱	BingHuoDao_DongLianYu.tab
冰火岛_荒血路	BingHuoDao_HuangXueLu.tab
不告诉你	BuGaoSuNi.tab
璨翠海厅	CanCuiHaiTing.tab
藏剑山庄	CangJianShanZhuang.tab
苍山洱海	CangShanErHai.tab
苍山洱海北部战斗NPC	CangShanErHaiBeiBuZhanDouNPC.tab
苍山洱海表现NPC	CangShanErHaiBiaoXianNPC.tab
苍山洱海崇圣寺	CangShanErHaiChongShengSi.tab
苍山洱海大理军营	CangShanErHaiDaLiJunYing.tab
苍山洱海敌对飞豹军	CangShanErHaiDiDuiFeiBaoJun.tab
苍山洱海敌对飞虎军	CangShanErHaiDiDuiFeiHuJun.tab
苍山洱海敌对飞熊军	CangShanErHaiDiDuiFeiXiongJun.tab
苍山洱海敌对NPC	CangShanErHaiDiDuiNPC.tab
苍山洱海动物NPC	CangShanErHaiDongWuNPC.tab
苍山洱海洱月村	CangShanErHaiErYueCun.tab
苍山洱海飞象军	CangShanErHaiFeiXiangJun.tab
苍山洱海风城	CangShanErHaiFengCheng.tab
苍山洱海功能NPC	CangShanErHaiGongNengNPC.tab
苍山洱海马场NPC	CangShanErHaiMaChangNPC.tab
苍山洱海南诏皇宫	CangShanErHaiNanZhaoHuangGong.tab
苍山洱海南诏皇宫	CangShanErHaiNanZuoHuangGong.tab
苍山洱海任务NPC	CangShanErHaiRenWuNPC.tab
苍山洱海主线剧情	CangShanErHaiZhuXianJuQing.tab
苍云_血誓后	CangYun_XueShiHou.tab
苍云_血誓前	CangYun_XueShiQian.tab
测试	CeShi.tab
长安城	ChangAnCheng.tab
长安敌对npc	ChangAnDiDuinpc.tab
长安友善npc	ChangAnYouShannpc.tab
长歌门	ChangGeMen.tab
成都	ChengDu.tab
成都表现特效	ChengDuBiaoXianTeXiao.tab
成都纯表现类NPC	ChengDuChunBiaoXianLeiNPC.tab
成都敌对	ChengDuDiDui.tab
成都动物	ChengDuDongWu.tab
成都功能NPC	ChengDuGongNengNPC.tab
成都功能区表现	ChengDuGongNengQuBiaoXian.tab
成都剑圣表现	ChengDuJianShengBiaoXian.tab
成都擂台	ChengDuLeiTai.tab
成都判案任务	ChengDuPanAnRenWu.tab
成都PQ	ChengDuPQ.tab
成都任务用补充NPC	ChengDuRenWuYongBuChongNPC.tab
成都狩猎表现	ChengDuShouLieBiaoXian.tab
成都围攻表现	ChengDuWeiGongBiaoXian.tab
成都友善	ChengDuYouShan.tab
成就	ChengJiu.tab
尘归海_巨冥湾	ChenGuiHai_JuMingWan.tab
尘归海_饕餮洞	ChenGuiHai_TaoTieDong.tab
