Name	RepresentID
陈菁菁	30037
陆危楼	29716
陆烟儿	29717
胆小的马贼	29718
阿依吐露	29719
不明身份的潜伏者	29720
丁蓬蓬	29721
阳宝哥	29722
蜥蜴	30074
蜥蜴	30073
蜥蜴	29723
中原武林人士	30517
中原武林人士	29724
中原武林人士	30082
被俘的奸细	29725
阿恰什	30513
叶炜	29727
山石道人	29728
练功木桩	29729
丁倩农	29730
叶琦菲	29731
杨宁	30515
演武弟子	29733
热比安	29734
猴子	29735
牟利	29736
骆驼	29737
沙狐	29738
沙狐	23365
路人	30071
路人	30070
路人	29739
骆驼	29740
庄正	29741
毛驴“大人”	29742
村民	29743
训练中弟子	30069
训练中弟子	29744
艾合坦木	29745
秃鹫	29746
商队商人	29747
艾尼瓦尔	29748
零散的马贼	29749
林翠山	29750
遇难的弟子	29751
娜哈	29752
阿吉	29753
祖合拉	29754
贺鲁	29755
巡逻马贼	29756
守寨马贼	29757
放哨马贼	29758
哈基姆	29759
萨热	29760
海依提	29761
艾合坦木	29762
艾克板克	29763
回纥村民	29764
明教叛徒	29765
卡卢比	29766
克辛波	29767
左思	29768
奇纳尔	29769
伊利亚斯	29770
沈平	29771
塔力甫	29772
阿里木	29773
沈酱侠	29774
演武弟子	29775
苏莱曼	29776
萨比尔	29777
丁倩农	29778
巴图尔	29779
巴拉提	29780
艾克板尔	29781
往生涧训练弟子	30621
往生涧训练弟子	29782
库尔班	29783
阿依木	29784
阿凡提	29785
热合曼	29786
坎曼尔	29787
伽罗	29788
哈伦	29789
张易得	29790
驼队商人	29791
驼队商人	30657
载人的骆驼 	29792
载人的骆驼 	30656
阿孜娜	29793
青蛙	29794
驼夫	29795
沙鼠	29796
骆驼	29797
骆驼	30798
表现npc	29798
澄正	29799
沙漠商人	29800
门派交通触发npc	29801
艾伯不拉	29802
孤狼	29803
孤狼	23368
陆危楼	29804
门派守卫	29805
门派守卫	29806
丁君	29807
何方易	29808
陆烟儿	29809
虔诚朝圣的百姓	29810
丁君	29811
伪明教徒	29812
门派守卫	29813
黑衣人	29814
头狐	29815
吉吉菲	32264
灰兔	30035
黑旋风	29953
星月烟花	29955
陷阱火	29957
滚石	29958
大地刺	29959
罐子	29961
交通跟谁骆驼	29973
阿诛	30072
晚课的弟子	30075
路人	30076
波斯猫	30579
波斯猫	30077
波斯猫	30577
波斯猫	30578
野马	30506
野马	30078
野马	23369
家鸡	30127
家鸡	30079
家鸡	30126
豺狗	30080
玛依努尔	30081
克辛波	30516
罕古丽	30083
晚课的弟子	30084
晚课的弟子	30085
门派守卫	30086
弹琴的明教弟子	30087
虔诚的村民	30088
朝圣的村民	30089
崇光的弟子	30090
门派守卫	30091
吹虫笛的弟子	30092
跳舞的明教弟子	30093
路人	30094
路人	30095
明教初级弟子	30211
明教初级弟子	30210
明教初级弟子	30096
回纥村民	30097
回纥村民	30098
回纥村民	30099
回纥村民	30100
回纥村民	30101
回纥村民	30102
回纥村民	30103
阿恰什	30104
鬼祟之人	30105
林谦	30106
艾莎	30107
古丽苏如合	30108
沙蛇	30109
兔子	30110
羊	30129
羊	30111
演武弟子	30112
玛依莎	30113
野骆驼	30507
野骆驼	30114
马王	30115
种葡萄的弟子	30116
丁君	30117
蝴蝶	30130
蝴蝶	30118
鹦鹉	30119
家鹅	30128
家鹅	30120
蝎子	30121
雕	30122
毛驴	30125
毛驴	30123
牛	30124
达吾提	30518
我会告诉你我是圣火吗	30509
我告诉你我就是圣火	30509
蝴蝶	30667
蝴蝶	30666
蝴蝶	30665
蝴蝶	30520
普拉多西	30521
柳夕	30522
载物的骆驼	30523
载物的骆驼	30655
马贩	30524
卢有余	30525
武元贺	30526
陆烟儿	30527
左使弟子	30528
黑沙暴遇难弟子 	29751
天策弟子	30530
少林弟子	30531
明教弟子	30532
何朝礼	30533
慧忍	30534
驼队商人	30535
明教演武弟子	30536
马	30661
马	30660
马	30659
马	30537
帕提曼	30538
乌鸦	30668
乌鸦	30539
坎曼尔	30673
灵狐	30770
灵狐	30769
中毒的弟子	30572
中毒的弟子	30574
中毒弟子的表现ID	30574
叶琦菲	30799
滚石	30622
小箭头	30623
猫	30771
孔明灯	30648
飞灯寄语	27213
潜逃的奸细	30782
神秘黑衣人	30784
坎吉	30786
练铁头功的弟子	30787
跑步的练功弟子	30788
练功休憩的弟子	30789
天字壹壹贰玖	30790
陈菁菁	30800
流沙旋风	31112
孔明灯	32153
懒惰的小猫	32429
雷古斯	37906
伊阿彦	40960
夏拉派蒂	45185
卢棋格	59772
相心	59795
斯憾	59797
阿依木	59799
热迪娜	59800
狄丽达尔	59825
訾晗	59826
萨提尔	59827
黑衣人尸体	59829
依洛儿	59841
萧尔	59842
古丽提娜	59854
阿萨恩	59868
天飞	60527
张大伯	62099
张大伯	62139
阿兹兰	62111
阿兹兰	62114
凶恶的豺狗	62110
陆烟儿	69113
