Name	RepresentID
南诏宫殿卫兵	27004
南诏皇家刀卫	27005
南诏皇家枪卫	27006
南诏皇家弓兵	27007
大殿巡逻兵	27008
青城派弟子	27012
司空苒	27013
丁寒楚	27014
原明教暗卫	27016
原明教弟子	27017
南王钢枪侍	27018
南王神弓侍	27019
宫廷神射手	27020
老鼠	27021
天龙寺遗留僧人	27022
北院摔角武士	27023
北院拳斗士	27101
南诏文臣	27024
强体天竺僧	27025
烈焰迦兰僧	27034
南诏嫔妃	27037
阁罗鸿	27076
泰崇傣	27138
段宗公	27140
萧沙	27043
萧沙	30031
萧沙	30032
萧沙	30033
王遗风	27044
谢渊	27046
莫雨	27047
穆玄英	27048
摩提耶罗	27056
智慧王	27068
阁逻凤	27070
阁逻凤	30139
星宿老仙	27074
青城派弟子	27079
霹雳堂高手	27077
蛮王	27078
宠臣紮木	27144
李倓	27052
陈和尚	27053
康雪烛	27054
柳公子	27055
剑圣	30278
方乾	27184
柳五爷	27185
可人	27186
无名	27145
李复	27049
浩气盟中将	27050
恶人谷领头	27051
木桌	27170
石柱	30149
暗箭发射孔	30809
回旋机关	30145
铁旋刃	30144
死亡潜伏者	27157
红莲煌球弹	27187
钢枪风切弹	27188
余芳水	27015
木尔达	27085
南宫猛虎	27088
南宫狮王	27090
浩气盟神射手	27146
恶人谷猎头者	27150
浩气盟快刀客	27151
恶人谷狼王	27152
浩气盟林枪卫	27153
恶人谷豪枪侍	27154
浩气盟铁甲卫	27155
恶人谷抵御者	27156
酒桶	27182
木台架	30143
美玲	27390
联合统领将军	27391
王义城	27392
联合强弩射生	27394
联合机关士	27395
龙枪抛投者	27396
虎矛断骑卫	27397
白牙骁骑兵	27398
南防药物兵	27399
铁壁防御军	27400
摔角霸王	27403
南诏御王枪兵	27404
南诏刀锋队	27405
南诏城守弓队	27406
南诏骑兵队	27407
蛮族盾卫	27408
蛮族巫医	27409
青城派弟子	27410
毒尸巨将	27411
活屍傀体	27412
狂骑队正	27413
王牌射手	27414
战场军犬	27415
驯兽师	27416
天策精英斥候	27417
枯荣大师总控	7652
六脉神剑总控	7652
枯荣大师	29686
段永安	29687
段风荷	29688
段玉	29689
段平南	29690
段灵	29652
段俭魏	29691
南国壮士	29306
刽子手	29307
破碎的物件	29316
南王狂刀侍	29351
段宗公	29890
泰崇傣	29891
阁逻鸿	29892
阁逻鸿	29998
泰拳手	29893
枪斧兵	29894
枪斧卫统帅	29895
红球	29908
绿球	29909
枪斧兵引导者	29899
泰拳引导者	29966
P1小怪、球体刷新总控 （挂起）	30512
阁逻鸿 	30202
阁逻鸿 	30218
阁逻鸿	30217
破损的石座	29400
破损的石柱	29402
破损的石栏	29403
破损的石灯	29404
龙象气劲	29405
李复	29622
范围总控	29993
八部气劲	29706
五毒女孩 	29663
冰雪霜皇气场	29704
迦楼罗炎劲气场	29705
陈和尚	29467
康雪烛	29470
舞女	29921
小猫	29475
柳公子	29474
摩提耶罗总控	25782
莫雨	29576
摩提耶罗	29577
轰雷	29578
莫雨吸收火球控制	25782
佛嗔之焰	29579
阶段控制	25782
摩提耶罗梵音控制	25782
梵音阶段共振控制	25782
大钟	29630
梵音	29632
梵音	29632
小猫	29636
梵音全场控制	25782
李复	29664
剧情控制	25782
佛嗔之焰	29579
猎头射生	29680
太祖长拳控制	25782
龙爪功轰雷控制	25782
火云掌技能控制	25782
真气窜动	29683
乱窜	29684
曹雪阳	30239
