Name	RepresentID
南诏宫殿卫兵	27004
南诏皇家刀卫	27005
南诏皇家枪卫	27006
南诏皇家弓兵	27007
大殿巡逻兵	27008
青城派弟子	27012
司空苒	27013
丁寒楚	27014
原明教暗卫	27016
原明教弟子	27017
南王钢枪侍	27018
南王神弓侍	27019
宫廷神射手	27020
老鼠	27021
天龙寺遗留僧人	27022
北院摔角武士	27023
北院拳斗士	27101
南诏文臣	27024
强体天竺僧	27025
烈焰迦南僧	27034
南诏嫔妃	27037
阁罗鸿	27076
泰崇傣	27138
段宗公	27140
萧沙	27043
王遗风	27044
谢渊	27046
莫雨	27047
穆玄英	27048
摩提耶罗	27056
智慧王	27068
阁罗凤	27070
星宿老仙	27074
青城派弟子	27079
霹雳堂堂主	27077
蛮王	27078
宠臣紮木	27144
李倓	27052
陈和尚	27053
康雪烛	27054
柳公子	27055
方乾	27184
柳五爷	27185
可人	27186
无名	27145
李复	27049
浩气盟中将	27050
恶人谷领头	27051
木桌	27170
死亡潜伏者	27157
红莲煌球弹	27187
钢枪风切弹	27188
余芳水	27015
木尔达	27085
南宫猛虎	27088
南宫狮王	27090
浩气盟神射手	27146
恶人谷猎头者	27150
浩气盟快刀客	27151
恶人谷狼王	27152
浩气盟林枪卫	27153
恶人谷豪枪侍	27154
浩气盟铁甲卫	27155
恶人谷抵御者	27156
酒桶	27182
联合军军需官	27390
联合统领将军	27391
联合军教官	27392
联合强弩射生	27394
联合机关士	27395
龙枪抛投者	27396
虎矛断骑卫	27397
红牙骁骑兵	27398
南防药物兵	27399
铁壁防御军	27400
摔角霸王	27403
南诏御王枪兵	27404
南诏刀锋队	27405
南诏城守弓队	27406
南诏骑兵队	27407
蛮族盾卫	27408
蛮族巫医	27409
青城派弟子	27410
毒尸巨将	27411
活屍傀体	27412
狂骑队正	27413
王牌射手	27414
战场军犬	27415
驯兽师	27416
天策精英斥候	27417
枯荣大师总控	7652
破碎的物件	29316
