Name	RepresentID
圣女侍女	39105
弥漫	36530
白色能量体	39132
麟火	39118
滚石	39122
毒虫	39123
毒虫	39370
落石	39125
王翦	39126
弓箭俑	39215
黑色能量体	39133
能量球控制	36530
弩俑	39134
戟俑	39135
剑俑	39136
刷兵俑控制	36530
安禄山总控	36530
一阶段杀怪界面及阶段控制	36530
狼牙方士	39157
安禄山	39158
安禄山	39293
安庆绪	39159
无名	39160
亡者气息控制	36530
亡者气息	39164
亡者气息	39641
长明灯	39165
带盾剑俑	39166
带盾剑俑	39167
圆弧真气	39168
安禄山冲撞和疯狂踩踏控制	36530
安禄山普通踩踏控制	36530
阳炎气劲	39336
清风球	39328
盗墓者尸体	39176
剑盾俑	39216
战车俑	39217
石麒麟	39312
钉子板	39201
步兵俑	39202
持戟俑	39182
持弩俑	39183
狼牙禁卫军队正	39185
狼牙禁卫军精锐	39186
门闩	39187
银月宝箱	40098
宝箱	40095
切割机	39191
新建数据11	39192
新建数据12	39193
新建数据13	39194
新建数据14	39195
新建数据15	39196
新建数据16	39197
新建数据17	39198
新建数据18	39199
蓝色气劲	39335
不祥的黑蛇	39211
死亡诅咒控制	36530
古剑	39218
令狐伤	39289
火焰机关	39421
铁刺机关	39422
地狱之隙	39214
地狱之隙	39288
巨盾石俑	39341
岚尘剑	39220
龙剑	39219
车俑	39272
车俑	39273
车俑	39877
探雪	39274
古尸蝮蛇	39290
古尸毒蝎	39292
古尸剧毒	39291
怪蛇刷出点	36530
岚剑	39298
谷剑	39296
冬剑	39297
火花提示1	39299
火花提示2	39300
火花提示3	39301
圣女偏色_蓝	39307
圣女偏色_绿	39308
圣女偏色_黑	39309
圣女偏色_白	39310
柱子着火模型	39315
安禄山的宝箱	36513
擎天兵俑巨像	39325
真火气场	39327
火花	39344
将俑	39355
插剑	39367
落石	39371
令狐伤的影	39388
滚木	39386
瘴气	39387
毒雾	39408
玩家坐标记录	39544
燕不孙	39409
马车上的安禄山	39526
墓地怪鼠	36516
垂死的狼牙兵	39539
垂死的狼牙兵	39540
时间的车轮	39555
血迹	39574
血迹	39575
柱子	39580
弩箭	39581
上官寅	39583
姬月	39584
燕不孙	39585
广文	39586
广武	39587
狼牙士兵	39588
孑孑	39589
安庆恩	39590
扶风	39591
令狐伤	39594
安禄山	39595
地龙剑吼	39661
令狐伤	39656
金蛇剑风	39660
盘蛇剑影	39659
令狐伤	39657
令狐伤	39658
兰无求	39612
于常山	39613
太初陵社成员	39618
太初陵社成员	39619
油渍	39626
安禄山的战车	39639
狼牙士兵	39651
狼牙士兵	39652
狼牙队长	39653
盗墓贼	39654
战车	39655
弓箭俑	39662
长戟俑	39663
盘蛇气弹	39667
古旧的宝箱	39668
白龙剑风	39670
司徒一一	39985
秦邑	40080
丘秋	39984
腾云	40064
宝箱	40086
宝箱	40101
宝箱	40102
宝箱	40103
