Name	RepresentID
猛虎	22058
凶狼	22059
待驯的猛虎	22062
待驯的凶狼	22061
高级驯兽师	22063
高级驯兽师	22064
高级驯兽师普通待机	22064
伏牛寨猎手表现	22065
伏牛寨猎手表现2	22068
伏牛寨猎手表现3	22069
仪式女	22071
伏牛寨侍女	22077
伏牛寨婢女	22078
牛瓦待机坐表现	22079
伏牛寨放牛人	22080
伏牛寨精兵	22082
伏牛寨精兵	22083
伏牛寨精兵	22086
伏牛寨精兵打斗表现	22083
伏牛寨精兵待机	22086
伏牛寨猎手表现4	22088
送饭人(错勿用)	22090
新建	22097
伏牛寨卫士聊天	22098
伏牛寨卫士坐立	22099
豺狗	22100
豺狗	22102
豺狗	22105
豺狗	22106
豺狗黑色表现	22102
黄豺狗吃表现	22106
黑豺狗吃表现	22105
黄幡阵弓兵	22107
黄幡阵盾兵	22109
黄幡阵擂鼓兵	21203
小内内	22110
黄幡阵驯兽兵	22111
黄幡阵战熊	22112
黄幡战车	22114
新建	6084
凤字营罗苴子枪兵演武	22115
被抓的武林人士	22124
被抓的武林人士	22125
被抓的武林人士	22126
被抓的武林人士	22127
被用刑的武林人士	22118
被用刑的武林人士	22127
被用刑的武林人士	22137
被用刑的武林人士	22138
被抓的武林人士表现	22125
被抓的武林人士表现1	22126
被抓的武林人士表现2	22127
被用刑的武林人士表现	22137
被用刑的武林人士表现1	22138
凤字营谋士	22130
凤字营谋士	22131
凤字营谋士表现1	22131
豹尾营偏将	22132
凤字营罗苴子枪兵振臂	22133
西南雪豹	22134
凤字营亲卫	21444
凤字营刑卫	22135
凤字营刑卫	22136
凤字营刑卫表现1	22136
凤字营伍长	22139
凤字营锐刀兵	21123
凤字营锐刀兵	21124
豹尾连弩	22141
豹尾兽兵	22142
豹尾冲锤兵	22143
豹尾阵眼令官	22144
秀秀	22147
豹尾掷矛手	22148
行无常	22157
法无我	22157
静涅槃	22157
豹尾阵士兵交谈表现	22158
豹尾阵士兵坐地表现	22159
豹尾营伍长	22160
黄幡阵副将	22161
黄幡阵士兵持兵待机	22162
兵营马夫	22163
兵营马夫表现	22164
送信兵	22165
天策俘虏	22166
天策俘虏	22167
天策俘虏表现1	22167
倒塌的战车	22168
狮王	22169
牛王	22170
虎王	22173
熊王	22174
天竺黑狮	22175
天竺白熊	22176
天竺白虎	22177
天竺青牛	22178
鹤	22179
迷雾	22180
黄幡营伍长	22181
涅槃精舍守卫	22183
智深	6082
火龙龟	22189
嗜血天蜈	22191
夺魂灵蟒	22192
白天狗哈巴尔	22193
黑天狗瓜皮尔	22194
段氏女婢	22218
段氏男侍	22220
段氏男侍	22223
段氏男侍	22224
段氏男侍表现1	22223
段氏男侍表现2	22224
归顺的南诏将领	22226
归顺的南诏兵	22227
归顺的南诏兵	22228
归顺的南诏兵	22229
归顺的南诏兵表现1	22228
归顺的南诏兵表现2	22229
归顺的难民表现1	22230
顽童	22231
顽童	22232
暗道蝙蝠	22233
段家客卿表现	22235
段家客卿表现1	22236
使者随从	22237
段家客卿表现3	22241
段家客卿表现4	22242
受伤的段氏家丁	22244
受伤的段氏家丁	22245
受伤的段氏家丁表现1	22245
黑衣人抽打表现	22246
黑衣人战斗待机表现	22247
黑衣人跪拜表现	22248
五毒弟子	22256
星宿随从	22267
欧阳瑾	22278
欧阳瑾	22279
于小娴	22279
玉儿	22280
玉儿的狗	22281
小黑	22282
段氏老翁	22283
段家仆人	22284
段家仆人	22285
段家仆人	22343
段家仆人站立表现	22285
教书老者	22289
天一随从	22290
小米	22291
段小鱼	22292
飘飘	22294
妮妮	22295
段家老太	22296
蝶衣	22298
小钏	22300
段氏管家	22321
段家嬷嬷	22322
段氏丫鬟	22324
段家仆人端筐表现	22343
醉酒的南诏士兵表现	22368
醉酒的南诏士兵表现1	22371
清闲的段氏家丁	22372
清闲的段氏家丁	22450
清闲的段氏家丁	22456
段家家兵	22414
段家亲卫	22416
重伤的段家家兵	22429
重伤的段家家兵	22430
重伤的段家家兵	22438
重伤的段家家兵1	22430
重伤的段家亲卫	22431
重伤的段家亲卫	22441
重伤的段家亲卫	22443
神剑宫剑卫	22433
神剑宫剑卫	22435
神剑宫剑卫表现1	22435
重伤的段家家兵战待	22438
重伤的段家亲卫1	22441
重伤的段家亲卫2	22443
清闲的段氏家丁坐	22450
清闲的段氏家丁交谈	22456
更夫	22458
竞技场五毒兽回收控制	22460
突击队士兵	22481
天一教毒物	22632
天一教毒物	22633
天一教毒物	22634
天一教毒物	22643
天一教毒物表现	22633
天一教毒物表现1	22634
吐蕃僧	22636
天一教使者	22637
天一教使者	22639
天一教使者表现	22639
毒使乌索多	22640
乌巴贵	22640
被抓走的中原武林人士	7568
被抓走的中原武林人士	7569
被抓走的中原武林人士	7571
被抓走的中原武林人士	7572
被抓走的中原武林人士	7570
被抓走的中原武林人士	7583
天一教毒物biaoxian	22643
天一教毒物biaoxian	22633
天一教毒物biaoxian	22634
