Name	RepresentID
轩辕社军官	7020
军官的战马	7033
骏马	7037
轩辕社士兵	7035
轩辕社守卫	7040
将领的战马	7174
将领的战马	7038
马	7039
轩辕社弓手	7041
探子狄人杰	7117
轩辕社守卫	7167
伤员	7170
轩辕社医师	7172
训练中的轩辕社枪兵	7173
训练中的轩辕社枪兵	7175
轩辕社卫兵	7176
校尉萧成贯	7177
壮汉	7179
新兵	7183
受伤的士兵	7184
校尉轩辕绝	7186
马役	7196
轩辕社巧匠	7197
新兵	7199
轩辕社新兵	7200
轩辕社老将	7212
训马师	7217
黄鬃雄鹿	7496
黄鬃雌鹿	7497
黄鬃幼鹿	7498
刺角雄羚	7499
刺角雌羚	7500
刺角幼羚	7501
银犀	7502
幼银犀	7503
火蜥蜴	7504
流火	7505
乌皮雄野牛	7526
龙气	7529
乌皮野牛	7546
“悬命针”杏仙	7722
“大力士”李元八	7721
天工甲士	7726
天工龙兽	7727
花尔香英	7735
花尔伊可	7736
高里昆	7737
里尔心峰	7738
巴尔东恩	7739
格尔乌·鸦	7740
塔里贤·鱼	7742
俄里笛薰	7743
塔梅鹿房	7745
格尔星笛	7744
段氏侍女	7832
段氏琴姬	7833
段氏舞姬	7834
段土曹	7835
出云岭驯鹰人	21063
母鸡	21069
小鸡	21070
耕牛	21071
村民	21072
女性村民	21073
小孩村民	21074
老年村民	21076
民兵	21078
轩辕社骑兵	21461
五毒弟子	21579
五毒灵蟾	21580
段氏护卫	21711
天一使者	21712
星宿使者	21713
蛮族使者	21714
吐蕃使者	21715
南诏王使者	22236
南诏王使者	21716
轩辕社使者	21717
轩辕社火弩	22104
大雕	22754
老蒋	24695
望乡坪驯鹰人	21063
补天石驯鹰人	21063
恶人谷驯鹰人	21063
浩气盟驯鹰人	21063
断肠丘驯鹰人	21063
祝融岭驯鹰人	21063
望乡坪信使	24712
段氏信使	24712
断肠丘信使	24712
沈天放	24816
王三	7013
张麻子	7013
霍思齐	7013
洛辰	7013
赵五	7013
无名	7013
姬无言	7013
楚云	7013
于浪	7013
任逍遥	7013
洛尘	7013
老段	24922
老王	24922
老刘	24922
婉平	24923
冬儿	24923
七喜	24923
刘大力	24924
庞武	24924
石头	24924
李福	24925
王强	24925
药王	24925
段冲	24940
雁双儿	24953
说书人	71637
