Name	RepresentID
哥舒翰	52635
夺魂惊龙枪	53308
黑齿元佑	52694
蜘蛛	52695
毒花	52696
潜行蜘蛛	52697
刷蜘蛛控制	36530
刷毒花控制	36530
黑齿技能控制	36530
黑齿总控	36530
协防判断控制	36530
英招	53193
英招	53287
蛞蝓	54211
安庆绪	53311
安庆绪	53312
安庆绪	53313
安庆绪	53314
蜘蛛	53659
蜘蛛卵	53675
联军士兵	53677
天策士兵	53703
狼牙俘虏	53705
苍云士兵	53707
燕忆眉	53709
李承恩	53710
李复	53711
曹雪阳	53712
李无衣	53714
长孙忘情	53716
罗天	53718
天策守卫士兵	53719
苍云守卫士兵	53720
蜘蛛	53722
狼牙长弓手	53740
狼牙长枪手	53739
狼牙精英守卫	53744
狼牙长弓手	53741
狼牙刀盾兵	53743
狼牙长枪手	53742
宝箱	54175
对话控制	36530
蜘蛛守卫打斗控制	36530
邵益	53848
赵嵩权	53724
狼牙军官	53725
狼牙副官	53726
狼牙悍将	53727
狼牙斗将	53728
狼牙城卫	53729
李承恩	53730
李复	53731
曹雪阳	53732
长孙忘情	53733
燕忆眉	53734
李无衣	53735
表现控制	36530
天策前锋士兵	53719
苍云前锋士兵	53720
李斩鸿	53738
邵荆	53849
李复	53711
李承恩	53710
曹雪阳	53712
长孙忘情	53716
李无衣	53714
燕忆眉	53709
天策前锋士兵	53719
苍云前锋士兵	53720
黑齿元佑宝箱	47959
狼牙守卫	53943
天策弓箭手	53995
尸人	54271
蛞蝓	54237
蛞蝓	54238
宝箱	54481
上阳宫禁卫	55081
上阳宫禁卫统领	55982
李复	55988
李承恩	55992
曹雪阳	55993
柳静海	55998
独孤九	55995
霸刀弟子	56000
唐军长枪手	56571
唐军军医	56572
赤珠飞电	56895
顾章程	57195
