Name	RepresentID
狼牙投石车	40120
巨石	40136
狼牙弩手伍长	40242
狼牙刀盾兵伍长	40243
1111111111伍长 (36616)	40244
狼牙弓手伍长	40245
狼牙枪兵伍长	40246
狼牙工兵伍长	40247
狼牙弩手	40248
狼牙刀盾兵	40249
1111111111	40250
狼牙弓手	40251
狼牙枪兵	40252
狼牙枪兵	1
狼牙工兵	40253
狼牙炸弹兵 (无动作)	40254
唐军枪兵伍长	40255
中立据点领袖	40259
狼牙据点领袖	40260
唐军据点领袖	40261
李光弼	40731
银甲将军	40732
方乾	40733
少林棍僧	40734
任青萍	40737
牛廷玠	40738
高秀岩	40739
蔡希德	40740
太原城信使	40741
蒋不归	40742
窦然	40743
窦子同	40744
骑兵精锐(枪兵)   (临时模)	40745
骑兵精锐统领(枪兵)  (临时模)	40746
狼牙骑兵伍长(枪兵) (临时模)	40747
狼牙骑兵(枪兵) (临时模) 	40748
刀盾兵伍长	40749
刀盾兵(不完整)	40756
新建	40766
担架兵（无模型）(37158)	40781
自爆兵(无动作)	40782
爬墙兵(狼牙)	40783
摇旗手(唐)	40784
吹号手(唐-缺动作)	40785
新建	40864
谷之岚	40865
逃难者	40867
逃难者	41093
逃难者	41094
逃难者	41095
逃难者	41096
逃难者	41097
逃难者	41098
逃难者	41099
 	40868
受伤的太原居民(卧倒疼痛)	40869
受伤的太原居民(受伤平躺)	40870
休憩的太原居民表现1	40872
休憩的太原居民表现2	40873
休憩的太原居民表现3	40874
休憩的太原居民表现4	40875
药童	40876
药童	40877
苍云弟子	40878
李抱玉	40880
太原守军	40881
晋祠仆役	40884
慧才	40885
慧信	40886
唐军枪兵	40887
受伤的少林棍僧	40888
受伤的少林棍僧	40908
受伤的少林棍僧	40909
受伤的少林棍僧表现1	40908
受伤的少林棍僧表现2	40909
受伤的太原守军	40910
受伤的太原守军	40911
受伤的太原守军	40912
受伤的太原守军表现1 	40911
受伤的太原守军表现2 	40912
正直	40919
吐蕃诵经僧 (表现用)	40920
道衍 (表现用)	40921
吐蕃烈焰僧	40922
李怀仙	40923
王不空	40925
吐蕃烈焰僧	40926
道衍	40927
王不空	40928
道衍	40929
王不空	40930
澄寞	40931
李抱玉	40932
祁进	40933
蒋方文	40934
郭岩	40935
王岳明	40936
温茹	40937
陈百泉	40938
陈百泉	40939
受伤的村民	40940
昏迷的丐帮弟子	40942
受惊吓的小孩子	40941
丐帮弟子	40943
神志不清的丐帮弟子	40944
宫觥	40945
月华	40946
红衣教宣使	40947
红衣教弟子	40949
郭岩	40950
郭岩	40951
月华	40952
被拷问的村民1	42811
霍栋祖	40953
静姨	40990
狼牙枪兵	40991
狼牙枪兵伍长	40992
被拷问的村民2	40993
被拷问的村民3	40994
