Name	RepresentID
田布戈	40494
巡逻军	40786
暗杀者	40787
火龙摧城	40495
火龙机雷	40500
火墙机关	40502
牛廷玠	40508
呼延啸云	40509
城墙防守战总控	40510
狼牙投石车	40511
飞石	40512
狼牙攻城兵	40513
狼牙攻城校尉	40514
狼牙军鼓手	40515
新建数据7	40516
新建数据8	40517
新建数据9	40518
新建数据10	40519
新建数据1	40520
新建数据2	40521
新建数据3	40522
新建数据4	40523
新建数据5	40524
新建数据6	40525
新建数据7	40526
新建数据8	40527
新建数据9	40528
新建数据10	40529
太原城守军	40531
太原城守军	40533
太原城守军	40535
太原城守军	40536
太原城守军指挥官	40538
太原城守军指挥官	40539
太原城守军	40540
太原城守军	40541
太原城守军	40542
太原城守军	40543
太原城守军	40544
太原城守军	40545
P001受伤	40547
P001受伤	40548
P008受伤	40551
长孙忘情	40566
银甲将军	40558
苍云士兵	40559
唐军士兵	40560
苍云士兵	40561
狼牙攻城车	40562
狼牙士兵	40563
狼牙突攻城先锋	40645
狼牙爆破兵	40653
火	40654
百姓	40699
投石车	40718
唐军士兵	40721
唐军2	40722
唐军队长	40723
箭弩台	40725
狼牙伤兵	40757
狼牙伤兵	40758
狼牙伤兵	40759
狼牙伤兵	40760
P012受伤	40761
P012受伤	40762
P012受伤	40765
狼牙投石车	40808
狼牙弩车	40819
狼牙爆破兵	40820
 	40821
狼牙攻城兵	40822
狼牙攻城队长	40824
狼牙攻城兵	40825
狼牙攻城兵	40827
张守忠	40835
太原城守军	40836
太原城守军	40837
1号火焰表现用	40842
1号小火表现用	40843
1号黑烟表现用	40844
狼牙攻城兵	40970
火炮	40985
狼牙弓箭手控制	40986
狼牙弓箭手	41101
狼牙号角手	41134
太原城守军	41136
狼牙攻城先锋	41329
狼牙先锋兵	41331
狼牙先锋兵	41342
可木汗	41344
陆晓风	41429
烽火	41523
爬墙狼牙兵	41487
狼牙兵攻城先锋	41488
狼牙攻城先锋	41441
狼牙攻城先锋	41442
狼牙攻城先锋	41443
狼牙攻城队长	41447
图拔	41448
雷厉	41519
李忠国	41566
杨文虎	41750
王蒙	41751
冯熙范	41752
卢安来	41753
状态机注册辅助NPC	41858
狼牙攻城先锋	41488
战利品	43061
陈风	42863
李建国	42864
蒙武	43131
李恬	43132
军需物资	43157
