Name	RepresentID
铁血营步兵伍长	40464
铁血营精锐步兵	40465
严群	40466
战马	40468
战马	40469
阿独鹿	40471
乌素尔	40472
可蒙	40473
白陶	40474
白陶·琵琶	40475
白陶·箜篌	40476
音波球	40482
高绛婷	40479
龟兹舞者	40480
龟兹舞者	40481
音波球	40477
连线状态结算	40483
漫天雪舞	40484
疾风冲击	40485
玩家状态结算	40486
双生协作球·阳	40487
双生协作球·阴	40488
和谐音符·阳	40489
和谐音符·阴	40490
冰牢	40491
白陶范围总控	40492
白陶的宝箱	40493
断浪气劲	40570
杂兵	40639
史思明	40601
盲眼血奴	40602
魄衣血仆	40603
赤狼卫	40599
安雨	40632
阳极	40633
阴极	40634
鲜血聚力	40635
灵魂聚力	40636
安雨宝箱	40655
安雨侍女	40823
严孝通	40826
狼牙传令兵	40828
狼牙守备士兵	40829
狼牙守备士兵	40981
狼牙骑兵	40830
灌血掌	40883
红衣教众	40966
马	40968
狼牙弩炮车	40975
狼牙投石车	40974
狼牙刀兵	40981
贵重的军资箱	41227
狼牙射雕手	41251
被遗弃的战利品	41432
宝箱	41434
霍乾	41558
刘铭	41557
精锐御守兵	41757
“恶修罗”端木正我	41761
巡营骠骑	41771
狼牙守备军	41772
狼牙守备军	41773
狼牙守备军表现1	41773
狼牙守备军队正	41776
狼牙伤兵	41777
狼牙伤兵	41778
狼牙伤兵	41830
狼牙伤兵	41831
狼牙伤兵	41834
狼牙伤兵	41835
狼牙伤兵表现1	41778
箭雨	41779
“烈焰燎原”贲百胜	41782
战狼	41792
狼牙神箭手	41789
狼牙守寨兵	41790
狼牙守寨兵	41791
狼牙守寨兵表现1	41791
狼牙死士	41823
狼牙伤兵表现2	41830
狼牙伤兵表现3	41831
狼牙伤兵表现4	41834
狼牙伤兵表现5	41835
战马	41838
战马	41839
战马表现1	41839
“孤影绝尘”赫连武功	41841
史俊	42008
耿九原	42010
狼牙护卫	42011
北营援军	42214
南营援军	42215
南营援军	42216
西营援军	42217
月华	42489
野狼	42490
松鼠	42493
狼牙投弹手	42494
狼牙弓箭手	42499
狼牙火焰兵	42501
项天泽	42554
狼牙弓箭手	42807
长孙忘情	42814
银甲将军	42815
军资箱	43155
