Name	RepresentID
铜钱会恶棍	4601
铜钱会恶棍	4602
地鼠门小厮	4603
万花白棋仆	4604
万花黑棋仆	4605
天峰营执戟枪兵	4606
天峰营蒙首刀兵	4607
天峰营飞羽射手	4608
纯阳气宗弟子	4609
纯阳剑宗弟子	4610
少林达摩院弟子	4611
少林戒律院弟子	4612
玄武	4613
少林初级弟子	4614
楚秀弄月弟子	4615
昭秀舞风弟子	4617
绮秀纹雪弟子	4618
柳随风	4619
尉迟九骏	4620
李尧	4621
玄悲	4622
陌香	4623
方宇谦	4624
柳随云	4625
孙傲	4626
裴渺	4631
星陨	4632
孙敬萧	4636
士	4637
相	4638
马	4639
车	4640
卒	4641
兵	4642
士	4643
相	4644
马	4645
车	4646
炮	4647
炮	4648
游客	4651
阿甘二型	4664
罗风肆	4665
花声散	4667
刘鹤奔	4670
水立涛	4672
道游	4674
易和尚	4675
明师太	4676
白棋	4677
黑棋	4679
黑棋重生点	4699
总控一号	4706
总控二号	4707
总控三号	4708
总控四号	4709
总控五号	4710
总控六号	4711
香炉	4770
砍头组老大	4856
砍头组老二	4858
砍头组老三	4859
巨剑	4919
长剑	4920
长剑	668
长剑	673
气场	4993
气场	665
雾气	137
长剑	180
木箱	202
总控二号灯泡	308
炮爆炸特效	522
宝箱	534
训练木桩	573
总控射手	574
王海亭	731
药童	732
侠客岛侍从	733
云游道士	735
受伤的路人	736
新捕快	741
七秀初级弟子	742
小和尚	743
方天侠	744
大黑棋	2288
竹老板	5536
竹老板	5536
陈月	537
