Name	RepresentID
田布戈	43444
巡逻军	43445
暗杀者	43446
火龙摧城	43449
火龙机雷	43454
火墙机关	43456
牛廷玠	43462
呼延啸云	43463
城墙防守战总控	43464
狼牙投石车	43465
飞石	43466
狼牙攻城兵	43467
狼牙攻城校尉	43468
狼牙军鼓手	43469
新建数据7	43470
新建数据8	43471
新建数据9	43472
新建数据10	43473
新建数据1	43474
新建数据2	43475
新建数据3	43476
新建数据4	43477
新建数据5	43478
新建数据6	43479
新建数据7	43480
新建数据8	43481
新建数据9	43482
新建数据10	43483
太原城守军	43485
太原城守军	43487
太原城守军	43489
太原城守军	43490
太原城守军指挥官	43492
太原城守军指挥官	43493
太原城守军	43494
太原城守军	43495
太原城守军	43496
太原城守军	43497
太原城守军	43498
太原城守军	43499
P001受伤	43501
P001受伤	43502
P008受伤	43505
长孙忘情	43506
银甲将军	43507
苍云士兵	43508
唐军士兵	43509
苍云士兵	43510
狼牙攻城车	43511
狼牙士兵	43512
狼牙突攻城先锋	43519
狼牙爆破兵	43520
火	43521
百姓	43555
投石车	43558
唐军士兵	43560
唐军2	43561
唐军队长	43562
箭弩台	43563
狼牙伤兵	43575
狼牙伤兵	43576
狼牙伤兵	43577
狼牙伤兵	43578
P012受伤	43579
P012受伤	43580
P012受伤	43583
狼牙投石车	43585
狼牙弩车	43586
狼牙爆破兵	43587
 	43588
狼牙攻城兵	43589
狼牙攻城队长	43590
狼牙攻城兵	43591
狼牙攻城兵	43592
张守忠	43594
太原城守军	43595
太原城守军	43596
1号火焰表现用	43600
1号小火表现用	43601
1号黑烟表现用	43602
狼牙攻城兵	43607
火炮	43609
狼牙弓箭手控制	43610
狼牙弓箭手	43616
狼牙号角手	43618
太原城守军	43620
狼牙攻城先锋	43624
狼牙先锋兵	43625
狼牙先锋兵	43626
可木汗	43627
陆晓风	43632
烽火	43633
爬墙狼牙兵	43634
狼牙兵攻城先锋	43635
狼牙攻城先锋	43638
狼牙攻城先锋	43639
狼牙攻城先锋	43640
狼牙攻城队长	43644
图拔	43645
雷厉	43649
李忠国	43650
杨文虎	43651
王蒙	43652
冯熙范	43653
卢安来	43654
状态机注册辅助NPC	43666
狼牙攻城先锋	43669
战利品	43677
军需物资	43678
叶鸦	43679
