Name	RepresentID
铁血营步兵伍长	43680
铁血营精锐步兵	43681
严群	43682
战马	43684
战马	43685
阿独鹿	43687
乌素尔	43688
可蒙	43689
白陶	43690
白陶·琵琶	43691
白陶·箜篌	43692
音波球	43693
高绛婷	43695
龟兹舞者	43696
龟兹舞者	43697
音波球	43698
连线状态结算	43699
漫天雪舞	43700
疾风冲击	43701
玩家状态结算	43702
双生协作球·阳	43703
双生协作球·阴	43704
和谐音符·阳	43705
和谐音符·阴	43706
冰牢	43707
白陶范围总控	43708
白陶的宝箱	43709
断浪气劲	43710
三骑将_范围总控	43711
弓骑技能总控	43712
轻骑技能总控	43713
重骑技能总控	43714
杂兵	43715
史思明	43718
盲眼血奴	43719
魄衣血仆	43720
赤狼卫	43721
安雨	43722
阳极	43723
阴极	43724
鲜血聚力	43725
灵魂聚力	43726
安雨宝箱	43731
安雨侍女	43734
严孝通	43735
狼牙传令兵	43736
狼牙守备士兵	43737
狼牙守备士兵	43738
狼牙骑兵	43739
灌血掌	43740
红衣教众	43742
马	43744
狼牙弩炮车	43745
狼牙投石车	43746
狼牙刀兵	43747
贵重的军资箱	43751
狼牙射雕手	43752
被遗弃的战利品	43754
宝箱	43755
霍乾	43756
刘铭	43757
精锐御守兵	43758
“恶修罗”端木正我	43759
巡营骠骑	43760
狼牙守备军	43761
狼牙守备军	43762
狼牙守备军表现1	43763
狼牙守备军队正	43764
狼牙伤兵	43765
狼牙伤兵	43766
狼牙伤兵	43767
狼牙伤兵	43768
狼牙伤兵	43769
狼牙伤兵	43770
狼牙伤兵表现1	43771
箭雨	43772
“烈焰燎原”贲百胜	43774
战狼	43775
狼牙神箭手	43776
狼牙守寨兵	43777
狼牙守寨兵	43778
狼牙守寨兵表现1	43779
狼牙死士	43781
狼牙伤兵表现2	43782
狼牙伤兵表现3	43783
狼牙伤兵表现4	43784
狼牙伤兵表现5	43785
战马	43786
战马	43787
战马表现1	43788
“孤影绝尘”赫连武功	43789
史俊	43793
耿九原	43794
狼牙护卫	43795
北营援军	43796
南营援军	43797
南营援军	43798
西营援军	43799
月华	43802
野狼	43803
松鼠	43806
狼牙投弹手	43807
狼牙弓箭手	43808
狼牙火焰兵	43809
项天泽	43814
狼牙弓箭手	43815
长孙忘情	43818
银甲将军	43819
军资箱	43829
叶鸦	43830
血牢	43935
