Name	RepresentID
凤息颜	43416
凤息颜	43418
赵宫商	43419
刺客聂政	43420
无名剑	43421
残志光球 	43422
2号总控	43423
无名剑控制	43424
月侍弓	43425
3号总控	43426
3号流程控制	43427
月侍弓残像	43428
3号空模	43429
长歌门弟子	43430
长歌门弟子	43431
蒙面人	43432
张九龄	43433
赵池儿	43434
杨尹安	43435
李守礼	45980
飞剑回收	44432
偷袭判断npc	44433
驱散控制	44434
战斗监控	44959
夏雨荷	44361
周书畅	43884
看门弟子	45073
看门弟子	45141
试炼弟子	45105
受惊的鹿	45139
受惊的鹿	45492
受惊的鹿	45497
长歌门护院	45140
长歌门护院	45495
长歌门教习	45141
长歌门教习	45494
长歌门守卫	45142
长歌门杂役	45189
受伤的弟子	45190
巡逻守卫	45223
巡逻守卫	45224
巡逻护院	45225
3号战斗流程控制	45240
长歌弟子	45263
读书弟子	45261
舞剑弟子	45262
读书弟子	45264
舞剑弟子	45265
高阶弟子	45287
蒙面人	45304
蒙面人	45345
蒙面人	45489
凤息颜的赠礼	45231
救护弟子	45494
护卫	45495
山寨防护罩	45572
赵宫商的赠礼	45231
老师2	45830
血迹	45816
血迹	45817
夏晓煦	45831
守卫弟子	46116
花无痕	46674
夏晓煦	47493
陈怡东	47495
夏千峰	47514
