Name	RepresentID
桃叶仙	6982
一号总控	6981
桃干仙	6983
糖葫芦	6996
桃花仙	6992
桃实仙	6990
桃根仙	6993
桃枝仙	6991
桃丘首仙	6989
濯尘	7006
轨迹火	7026
轨迹水	7028
轨迹灵	7027
火	7021
灵	7024
水	7025
风	7029
轨迹风	7030
香蕉皮	7031
桃干仙	7045
桃实仙	7046
多多	7060
多多	7061
多多	7062
三号总控	7063
多多	7065
多多	7066
多多	7067
多多	7068
二号总控	7075
伊曼云	7352
蛇	7370
蛇	7371
蛇	7372
蛇	7373
阿里曼行法者	7389
阿里曼免罪者	7396
阿里曼圣洁守护者	7397
阿里曼祭坛护卫	7394
阿里曼祭坛卫士	7395
阿里曼信徒	7392
阿里曼狂热者	7393
伊曼云总控	7694
多多	7525
导演	7615
叶炜	7629
源明雅	7695
赌具	22505
多多	22509
宝箱	22517
宝箱	22518
阿里曼信徒	24081
被奴役的村民	24083
监工	24095
苦工	24102
传送阵	24338
天明	24616
阴阳师	24781
阴阳师	24782
传送阵	24910
阴阳师	24781
