Name	RepresentID
老虎	21529
雄鹿	21532
雄鹿	23167
鹿王	21533
小羊羔	21534
蜈蚣	21535
大黑狼	21542
白狼	21544
蜘蛛	21545
鸡	22287
鹅	21548
蝎子	21549
螃蟹	21551
寄居蟹	21553
犀牛	21555
狮子	21556
狗狗	21643
马	21644
野鹿	22689
梅花雄鹿	23133
圣雕	22790
雌鹿	22848
铁甲龟	22894
白肥猪	22979
受伤的猞猁	23003
受伤的幼狮	23010
受伤的熊熊	23011
受伤的穿山甲	23012
仙鹤	23015
白狐	23016
冰原白熊	23017
直角灰羊	23157
野鹿	23060
银狼	23135
虎王	23136
羊王	23139
小铁嘴鳄	23156
直角雌灰羊	23158
直角小灰羊	23159
蟾蜍	23160
蛇	23161
鸟群	23162
卧虎	23166
鹿	23167
狼王	23168
灰狼	23169
乌鸦	23230
猿	23528
乖乖兔	23267
祭坛仙鹿	23451
烈狼	23452
鸦群	23453
羊族驯羊	23158
羊族驯羊	23159
羊族驯羊	23157
老鼠	5895
老鼠	31097
游鱼	23493
鱼鸥	23509
蝴蝶·蓝	23510
蝴蝶·绿	23511
蝴蝶·红蓝	23512
蝴蝶·橘黄	23513
西南象	23607
幼象	23614
孔雀	23647
狼族战狼·嚎叫表现	23789
濒死的归林羊	23790
老虎·嗷叫	23824
老虎·站立	23825
交易的小象	23830
交易的猪	23831
从来不骑	23832
叮叮咚	23834
爱嘲讽	23835
小犀牛	23924
兔湘湘	23929
牧羊犬	24176
蛮族驯象	24177
新建	24178
水牛	24205
