Name	RepresentID
宋明	61845
孙大娘	62214
罗睿	61872
尹娥	61911
山贼喽啰	61912
山贼喽啰	62195
山贼喽啰	62198
小香	62006
周强	62007
刘镇虎	62008
周老伯	62009
山贼喽啰	62012
山贼喽啰	62013
王通达	62014
姜光城	62020
吕震天	62021
孟彪	62028
阿逵	62029
阿隼	62030
阿芳	62045
孟彪	62049
天威寨山贼	62074
小剧场导演	62075
要死了小剧场总控	62076
天威寨山贼	62100
天威寨山贼	62116
断裂的木桩	62143
彭泊	62150
丁柳	62157
孟邱天	62158
炸弹	62156
乐乐	62177
逃跑村民	62180
逃跑村民	62181
逃跑村民	62182
天威寨山贼	62183
天威寨山贼	62188
山贼表现2	62195
表现npc	62198
阿龙	62204
天威寨山贼	62207
炸弹空模	62211
李伯	62219
阿秀	62220
李奶奶	62221
天威寨山贼	62222
天威寨山贼	62223
天威寨山贼	62224
天威寨山贼	62225
春兰	62258
瞬发炸弹	62156
