Name	RepresentID
黑齿元佑	38232
高俊	37656
滚石	37657
狼牙冲锋兵	37658
狼牙冲锋兵	37658
狼牙冲锋兵	37658
喷火狼牙兵	37662
燃烧	37663
燃烧	37686
攻门车	37664
箭弩车	37665
狼牙指挥官	37666
狼牙冲锋兵	37658
狼牙喷火兵	37662
界面控制	36530
天策搬运兵	37687
天策弓兵	37688
天策弓兵	37689
狼牙弓兵	37692
沙叱博	37857
天策士兵	37707
天策士兵	37709
狼牙骑兵	37710
狼牙士兵	37658
箭雨	37716
曹炎烈	37732
曹雪阳	37733
大关卡开启控制	36530
西北刷怪控制	36530
东北刷怪控制	36530
西南刷怪控制	36530
东南刷怪控制	36530
南方刷怪控制	36530
狼牙斥候	38400
狼牙斥候精英	38401
狼牙斥候首领	38402
阿史那从礼	37781
小七	37782
箭弩车	37783
靛云	38291
空连湮标记圈	38387
受蛊惑的天策士兵	37853
金龙渊·羽	38295
蓝语涟·羽	38296
鸢戾天·羽	38297
小七	38464
持盾狼牙兵（后方表现）	37784
狼牙持盾兵	37784
箭弩车	37786
喷火狼牙兵	37662
狼牙工兵	37787
地雷	37788
狼牙持盾兵	37784
狼牙持盾兵	37784
沙叱博	37819
蓝语涟	38289
鸢戾天	38287
金龙渊	38288
圣狼灵	38094
喷火狼牙兵	37662
喷火狼牙兵	37662
天策探雷教官	37802
地雷	37788
地雷	37788
冲锋骑兵	38033
狼	38032
血	38041
燃烧	36530
滚石	37657
狼牙轻功兵	37854
狼牙轻功兵	37854
箭弩器械	38080
投石车	37866
狼牙潜行者	37862
狼牙潜行者	37862
狼牙潜行者	37862
狼牙大汉	37863
草丛	37864
帐篷1	36530
帐篷2	36530
帐篷3	36530
帐篷4	36530
狼牙藤甲兵	37882
狼牙藤甲兵	37882
火油罐	37886
燃烧的火油	37887
狼牙藤甲兵（表现）	37882
天策士兵	37707
冲锋骑兵总控	38947
苏曼莎	37949
令狐伤	37950
狼牙精英弓部	37951
狼牙精英斥候	37952
断罪舞者	37953
狼牙进击猛士	37954
木桶	37955
安庆绪	37957
山狼总控	36530
杨宁	37995
狂狼士兵	38007
雷狼之血	38263
天策将士	38034
天策先锋校尉	38035
天策先锋队正	38036
马功	38040
天策伤兵	38043
天策伤兵	38044
天策伤兵	38046
天策工兵	38047
宝箱	34282
阿雪	38048
狼牙射手	38068
狼牙巫医	38085
黑齿巫师	38107
曹炎烈	37732
黑齿卫士	38163
黑齿祭司	38166
黑齿暗影	38168
腐骨	38209
狼牙轻功兵	37854
狼牙轻功兵	37854
狼牙轻功兵	38388
战八方技能控制	36530
梅花三弄技能控制	36530
追命箭技能控制	36530
追命箭矢	38189
旋风武器	38210
旋风武器	38561
黑暗治愈虚拟体	38211
献祭虚拟体	38212
献祭虚拟体	38236
四灵·术	38213
四灵·力	38214
四灵·光	38216
四灵·暗	38215
天策盾兵	38233
天策枪兵	38234
天策物资兵	38235
秦颐岩	38192
秦颐岩	38556
李承恩	38194
天策战马	38195
天策重甲护卫	38196
狼牙潜行者（表现）	37862
狼牙大汉（表现）	37863
狼牙冲锋弓兵	37692
骑马狼牙兵	38228
投石车	37866
席庶云	37666
投石车巨石	38231
爆裂	36530
怒吼控制	36530
朱剑秋	38247
天策士兵	38248
沉甸甸的宝箱	36513
鬼魅	38309
鬼魅	38318
幻真·幻	38272
幻真·真	38273
狼牙士兵	38260
狼牙巡逻兵	38261
狼牙斥候	38262
狼牙哨兵	38507
狼牙盾兵	38537
狼牙死士	38265
狼牙射手	38264
狼牙先锋军	38266
天策射手	38267
天策补给兵	38268
天策士兵	38269
月	38271
转阶段控制	36530
小旋风	38274
白云	38275
黑云	38276
大旋风	38277
追魂戟真气	38278
马上雷狼	38301
追魂戟曹雪阳血量控制	36530
狼牙刀锋	38307
小路石板	38308
山狼的宝箱	36513
降落伞	38316
辎重营队正	38319
辎重营枪卫	38320
辎重营伙夫	38321
奔雷营弓箭手	38322
奔雷营火器兵	38323
奔雷营突击兵	38324
狼牙斥候	38325
火焰表现	38326
天策斥候	38327
粮草堆	38328
狼牙射手	38462
焦油桶	38553
灭火小怪	38944
平地雷	38329
重弩	38317
狼牙哨位	38331
袖星流刃	38332
青蝉千丝	38333
冰雨寒息	38334
寒毒鲨齿	38335
寒玉冬舞	38336
钱万贤	38337
狼牙大旗	38338
狼牙哨兵	38339
狼牙工兵	38342
炮台	38344
狼牙刀兵	38341
狼牙枪卫	38345
狼牙援兵	38351
炮弹	38360
炮弹	38549
炮弹落点	38449
计算落点专用	38450
狼牙轻功兵	38388
爆炸灼烧	38369
邪心毒	38370
夜	38375
剑蛇刺	38424
小七保护罩	38386
万文石	38389
齐元龙	38390
杜阳成	38391
崔德元	38392
刘正祥	38393
天策战俘	38394
狼牙守卫军	38395
狼牙步兵援军	38405
狼牙弓箭兵援军	38406
霹雳弹	38398
重弩	38407
喷火狼牙兵	37662
雷狼	38409
被魅惑的阴影	38422
捕兽夹	38420
动物	38419
水潭	38421
金蛇剑风	38423
滚石	38568
令狐伤	38425
令狐伤	38426
地龙剑吼	38432
令狐伤	38510
许巍	38512
天策宝箱	38438
天策侦查兵	38443
狼牙巡逻兵	38447
狼牙大营卫兵	38448
火烧联营控制	36530
水桶	38455
盘蛇剑影	38465
天策战马	38466
狼之力	38493
破釜沉舟	38494
关卡总控	38492
天策骑兵	38482
王大石	38483
王大石表现	38484
狼牙军官	38485
剧情总控	38486
狼牙虎盾兵	38487
