Name	RepresentID
王逸舟	5933
王雪儿	5951
金毛鼠	6259
嗜血蝠	6260
芙蓉妖姬	6261
盗宝弟子	6262
火刀弟子	6263
江南营刺客	6264
天竺夺宝僧	6265
雾隐天忍	6266
龙泉使者	6267
太阿使者	6268
叶蒙	6269
叶御神	6270
叶正阳	6271
叶流风	6272
叶残雪	6273
叶碎星	6274
叶长生	6275
活动男模	6276
活动女模	6277
活动叶英	6278
宝藏	5404
藏剑BOSS总控	5404
沉香	6340
宝箱	26331
盗墓贼	35415
金刚狼	35416
宝箱	40280
宝箱	40281
宝箱	40282
宝箱	40284
宝箱	40285
宝箱	40286
特别的宝箱	40287
装着宝藏的箱子	40289
小豆子	40290
洪大伍	40291
阿琪	40292
许吴	40293
刘洋	40294
刘纩	40295
金背猿猴	48244
呼呼	49347
夜狼山宝箱	49670
精英怪宝箱	49670
宝箱	52553
宝箱	52556
金刚狼宝箱	67182
盗墓贼宝箱	67183
金背猿猴宝箱	67201
