Name	RepresentID
紫薇岗猛虎	44
许楷龙	4572
大河龟	152
野狼	2925
黑斑猪	160
肥大的青蛙	1526
壮年野狼	158
大棕熊	165
阿里曼行善者	185
阿里曼行善者	177
阵部下忍	361
阵部下忍	3123
松岛流初段	175
松岛流三段	363
大黑熊	165
松岛流足轻组头	186
董大婶	190
迎氏	364
王行	198
焦常	200
严正	203
曾力	204
姬研惠	205
白小蝶	206
乞丐	429
董大叔	214
董千青	215
何二	216
雁水生	217
周乔	218
刘兰	185
魏麻	221
徐伟	222
冯德	224
叶承风	226
红兰	232
守岗水贼	236
行不法	237
颜如烟	355
潘毅	156
阮梅	291
道痴	258
许攸	260
张晨	261
谢长	262
程伯	263
舍氏	264
茂方雄二	273
燕正风	281
呈元	280
伙计	268
伙计	142
宫本家初段	270
雷部下忍	271
宫本家足轻	272
宫本家足轻	138
宫本秀夫	273
龙剑岭山贼	274
龙剑岭土匪	275
良名	277
松岛流足轻	272
兔子的遗体	288
濒死的矿工	285
幼小的青蛙	1527
景上青	297
吴乐	299
易氏	304
孙婆婆	309
小四	312
柯木匠	316
涂亮	317
扬州车夫	318
风间家足轻	361
罗掌柜	323
段宝生	324
丁聚财	325
龙女	326
兵部下忍	327
土肥原家足轻	328
土肥原龙一	329
温吞水	330
悠闲的茶博士	331
陆仁甲	332
肖兵乙	333
管仲丁	334
鬼祟的女子	335
醉酒的乞丐	336
县衙仵作	337
粮店伙计	338
盘查的衙役	339
王老虎	340
田中英吉	3660
英吉家初段	342
英吉家足轻	343
硕大的老鼠	344
张三	105
李四	105
风间家足轻组头	273
风间家初段	362
土肥原次郎	271
冯红玉	350
丁彩	351
宁春姐	352
炎部下忍	272
扬州城守卫	103
男童	28
玩耍的小孩	27
女童	29
大螃蟹	166
阳宝哥	4784
阿诛	4787
赵氏	16001
艾氏	18001
艾牛金	17286
紫薇岗野猪	160
赵灵儿	238
林老板	360
大闸蟹	166
田中流三段	358
田中鹤	359
田中流初段	126
蔡康来	20001
卢广生	1204
曾布	1488
铜头老五	20002
沈绿衣	20003
王安	20004
王博	21005
无辜的小螃蟹	167
阿武	151
公猴	1063
母猴	1063
小猴	2063
捧盘小猴	2063
火	4001
简易的稻草人	120
巨大老虎	44
紫薇岗母老虎	44
透明超人	5196
紫薇岗野狼	158
矮脚猪	293
刘秀	185
小鸡	404
小鸡	128
水贼头子	282
水贼头子	117
再来镇居民	187
再来镇居民	146
再来镇居民	147
守寨水寇	256
巡逻水寇	283
巡逻水寇	148
修理工	284
修理工	149
苦力	286
苦力	150
女水贼	289
女水贼	124
女水贼	125
强大的龙剑岭山贼	275
阿里曼行善者	177
地上龙	405
元翔人	454
河工	292
枚成才	256
再来镇守卫	173
周琦	286
姜罗	131
聋哑仆人	1770
吃庄稼的麻雀	643
地鼠门喽罗	752
地鼠门喽罗	24496
地鼠门喽罗	38305
地鼠门门人	719
金耗子张不立	3670
童甲山	1685
二当家	283
二当家	148
王小花的坟墓	1440
高风节	1519
梅吟雪	238
余枚	1519
陈节	331
三姑	352
小孩	27
罗汉	340
海大贵	250
杨澄	458
绣娘	1500
沈油	1518
苏勤	1505
毛飞飞	2129
伍西乡	2137
扬州信使	2626
金不患	2788
龙止情	2789
村民	2627
村民	2913
村民	2628
村民	2914
村民	2632
村民	2916
村民	2634
村民	2917
何雷	2488
僧一行	4256
曹雪阳	4263
卓凤鸣	4265
萧白胭	4267
澄实	4254
侠客	1676
叶凡	5733
唐小婉	5818
曹雪阳	4263
母鸡	24435
老艄公	24452
童茉香	24458
乌鸦	22885
地鼠们喽罗表现2	24496
阿苗	24497
谢彤	24498
谢彤表现	24511
幼娘	27173
邓指挥使	27174
试炼木桩 	27190
碎裂的试炼石	27191
萤火虫	29093
陈炎	30671
王陆	30672
赞布	30674
任圆媛	35426
纨绔子弟	35427
马天忌	35428
微醺老人	35429
家丁 	35431
家丁打手	35432
偷懒工人	35243
偷懒工人	35242
偷懒工人	35442
偷懒工人	35443
偷懒工人	35444
歇脚老伯	35242
家丁	35433
家丁	35440
酒客	35442
过路商人	35443
酒僮	35444
鸡仔	35445
萧觞启	35479
家丁打手	35776
地鼠门喽啰表现3	38305
林记烟花	38306
狂躁的稻田猪	38312
短途马匹	38376
小七	39872
受伤的老鼠	52590
楚小妹	59367
陶寒亭	59368
宋家恶奴	59375
宋家恶奴	59376
张超	59388
广陵散人	60635
冯莫	61400
周墨	64391
受欺少年	65063
客栈掌柜	65115
打手	65061
女子	65062
店小二	65118
陈文	65131
杨武	65145
孙不就	65149
店小二	65118
