Name	RepresentID
猿飞鬼助	1861
风影	1948
炎影	1976
水影	1945
孟康	1901
黑风煞	1981
天一教驱尸者	1943
小毒尸	2617
飞雪	1989
濯垢奇蛛	1863
濯垢奇蛛	1939
臧天决	1862
飞雪	1990
调整boss表现专用	1939
风之鬼助	1861
炎之鬼助	1861
水之鬼助	1861
金水小boss总控	3568
寇岛小boss总控	3567
黑齿元佑	35616
黑尺元祐总控	35617
风灵珠	35618
雷灵珠	35619
水灵珠	35620
火灵珠	35621
土灵珠	35622
飓风	35623
鬼火	35624
鬼魅	35625
苏曼莎	35957
苏曼莎总控	36044
苏曼莎范围控制	36043
令狐伤	35966
摘星侍女	35636
狼牙精锐	35635
狼牙步卒	35633
战狼	35637
阿史那从礼	37511
刀锋	37669
狼图腾	37684
突厥祭司	37785
狼牙骁骑	37867
狼牙骁骑	37868
狼牙骁骑	37869
宝箱出现	38546
宝箱金光	38547
珠宝金光	38548
宝箱光束	38584
遗失的铁血宝箱	38967
