Name	RepresentID
强弓	68324
盾卫	68325
钱宗龙	68326
防守位置	68327
灭火弹	68328
晏厄	67228
晏厄	68330
邢不僵	68331
晏灾	68332
孙楚珊	68333
虎牙号海寇	68334
伍藏野	68336
萧隆夏	68338
方耕牧	68339
方耕牧	68340
无面鬼	67269
无面鬼	67270
弓箭手	68344
船舱滚桶	68345
康赞	68346
康秋	68347
鬼首	68349
水鬼	68350
沈鸿飞	68354
安全区域	68355
方家御海卫	68356
康家定海卫	68357
康家肃海卫	68358
尹家结阵手	68359
沈昊	68363
鲁余	68364
相巴邦	68365
梭梓榭	68366
鑫鑫	67271
鑫鑫	67598
弓守	68369
虎突勇士	68370
虎牙号海寇	68371
强袭奴仆	68372
无耻混蛋	68373
洪于翔	68374
水鬼	68375
尹家护阵手	68379
渔民	68387
渔民	68388
鱼枪	68389
康宴别	68390
方子游	68391
无面鬼	67535
无面鬼	67533
海龙会弓手	68398
海龙会突击海寇	68399
海龙会精锐海寇	68400
海龙会海寇	68401
海龙会奸诈海寇	68402
独孤九	68409
穆玄英	68410
佘振	68411
鲨鱼	68416
火药弹	68417
海龙会女性海寇	68418
受轻伤的海寇	68419
受重伤的海寇	68420
无法动弹的海寇	68421
敌方箭雨落点	68426
濒死的海寇	68429
虚弱的海寇	68430
联军弓箭手	68433
海龙会弓箭手	68434
联军守卫	68444
联军侍卫	68445
李如峰	68446
水鬼	68447
水鬼	68448
唐优子	68098
浔郢	68099
音符	67278
音律曲	67277
方家远海卫	68458
孙楚珊宝箱1	59015
孙楚珊宝箱2	59015
孙楚珊宝箱3	59015
孙楚珊宝箱4	59015
孙楚珊宝箱5	59015
孙楚珊宝箱6	59015
虎翼突袭宝箱1	59015
虎翼突袭宝箱2	59015
虎翼突袭宝箱3	59015
虎翼突袭宝箱4	59015
虎翼突袭宝箱5	59015
虎翼突袭宝箱6	59015
邢不僵宝箱1	59015
邢不僵宝箱2	59015
邢不僵宝箱3	59015
邢不僵宝箱4	59015
邢不僵宝箱5	59015
邢不僵宝箱6	59015
鬼首宝箱1	59015
鬼首宝箱2	59015
鬼首宝箱3	59015
鬼首宝箱4	59015
鬼首宝箱5	59015
鬼首宝箱6	59015
尹雪尘宝箱1	59015
尹雪尘宝箱2	59015
尹雪尘宝箱3	59015
尹雪尘宝箱4	59015
尹雪尘宝箱5	59015
尹雪尘宝箱6	59015
晏灾宝箱1	59015
晏灾宝箱2	59015
晏灾宝箱3	59015
晏灾宝箱4	59015
晏灾宝箱5	59015
晏灾宝箱6	59015
关卡宝箱	59015
通关宝箱	59015
思思	69074
