Name	RepresentID
伊玛目	36486
陆危楼	36487
阿萨辛	36488
尹放	36489
祭坛标志	36490
炫父祭司	36491
暗母祭司	36492
伊玛目总控	36493
红莲之火	36494
碧落之炎	36495
火雨控制	36496
日月融合控制	36497
天罗焱	36498
天罗焱	36499
渊之尘	36500
灼之烛	36501
伊玛目阶段控制	36502
移形化火技能控制	36503
元火技能控制	36504
火蓝刀锋控制	36505
火焰使者控制	36506
伊玛目的宝箱	36507
祆教使者	36508
祭坛之火	36509
炫父祭司	36510
暗母祭司	36511
安禄山	36512
安禄山的宝箱	36513
肉块	36514
探头探脑的老鼠	36515
乱窜的老鼠	36516
贪吃的老鼠	36517
剑圣	36518
？？？	36519
乱窜的老鼠	36520
丐帮弟子	36521
滑翔器	36522
潜入剧情控制	36523
潜入的丐帮弟子	36524
伊玛目陷阱惩罚	36525
战狼	36526
战狼	36527
战狼	36528
头狼	36529
撼天动地技能控制	36530
嗜血技能控制	36531
头狼一阶段战斗模式转换	36532
安禄山阶段控制	36533
鲜血牢笼控制	36534
大火	36535
安禄山总控	36536
血池喷发控制	36537
踏雪无痕控制	36538
燃血笼锁	36539
血池生成控制	36540
凝血之地	36541
安禄山刷怪控制	36542
狼牙军官	36543
狼牙士兵	36544
狼牙将领	36545
殿顶漏洞	36546
巡逻的狼牙兵	36547
巡逻的狼牙将领	36548
屋顶巡逻士兵	36549
屋顶巡逻士兵	36550
狼牙士兵	36551
狼牙军官	36552
天罗焱	36553
伊玛目元火buff控制	36554
耶律燕	36555
狼牙骑兵	36556
狼牙骑兵	36557
狼牙骑兵	36558
狼牙骑兵	36559
球	36560
小飞侠	36561
拿去	36562
傀儡·天	36563
傀儡·人	36564
傀儡·修罗	36565
傀儡·畜生	36566
傀儡·饿鬼	36567
傀儡·地狱	36568
傀儡丝	36569
地狱恶鬼	36570
针沼	36571
净土	36572
六道技能辅助体	36573
阎罗恶鬼	36574
宝箱	36575
无名	36576
离愁辅助	36577
击鼓手	36578
独孤问俗	36579
李倓	36580
李复	36581
可人	36582
马	36583
狼牙处刑者	36584
狼牙军勇士	36585
狼牙猎头射手	36586
韦柔丝	36587
李裹儿	36588
燕小霞	36589
阳宝哥	36590
秋叶青	36591
郭岩	36592
耶律燕战斗总控	36593
乌鸦	36594
鸟	36595
马球NPC	36596
狼牙士兵	36597
狼牙士兵	36598
傀儡·幻灭	36599
无名	36600
增益·妙手	36601
增益·锁神	36602
增益·弑王	36603
