Name	RepresentID
二丫	60660
民兵	60661
毛毛	60662
莫雨	60663
刘洋	60664
刘大海	60665
董龙	60666
董虎	60667
董虎	60668
无名	60669
飞镖	60670
山贼刽子手	60671
灰狼	60672
果子狸	60673
小野猪	60674
山贼混混	60675
山贼小头目	60676
山贼杀手	60677
山贼小头目	60678
菜花蛇	60679
小毛贼	60680
小毛贼	60681
小毛贼	60682
二流杀手	60683
二流杀手	60684
野林土匪	60685
野林土匪	60686
王大石	60687
小月	60688
董龙宝箱	60689
无名宝箱	60690
山贼	60693
梯田恶汉	60695
唐简	60697
山贼混混	60699
秋叶青	60700
李复	60701
秋叶青	60704
布娃娃	60705
小白	60715
织女	60716
陈定善	60717
徐嫂	60718
春兰	60723
王婆婆	60724
张忠	60725
张桂芝	60726
小宝	60727
王大	60728
王二	60729
王三	60730
傀儡	60732
傀儡	61175
剧情总控	60735
叶季良	60736
黄字贰伍	61449
