Name	RepresentID
木材	58915
合金块	58916
滚石	58917
伊玛目的宝箱	58918
柳鸾旗	58919
雷蛇	58920
血刀卫	58921
血刀卫	58922
寒水石	58923
硫磺岩	58924
柳鸾旗区域表现控制	58925
轨道机关	58926
伊玛目	58928
伊玛目总控	58929
土块	58932
猛烈	58936
二阶段柳鸾旗龙卷风	58937
火雨控制	58938
伊玛目技能控制	58939
实验火矿车	58943
幻境技能控制	58945
石块	58946
掉落火球控制	58947
祆教使者	58948
厚重的铁箱	47959
实验金矿车	58950
实验木矿车	58951
飞升石块控制	58952
柳鸾旗	58953
火雨	58954
火焰	58955
雷火	58956
屋顶天雷	58957
雷溶石	58958
雷霆天针	58959
柳鸾旗的宝箱	58961
掉落的火球	58962
伊玛目刷使者控制	58963
实验水矿车	58964
实验土矿车	58965
伊玛目元火控制	58966
柳五爷	58967
月弄痕	58968
袁琅	58969
法健公	58971
血刀卫	58972
麒麟矿车	58974
麒麟矿车	58975
麒麟矿车	58976
麒麟矿车	58977
麒麟矿车	58978
血刀卫	58979
柳秀岳	58982
柳惊涛	58983
霸刀弟子	58984
郭澄	58987
杨青月	58988
实验废铁	58990
柳丰衣	58991
霸刀锻造师	58992
法健公控制	58993
肆虐	58994
柳鸾旗技能控制	58995
麒麟矿车	58996
雷食兽	58997
柳鸾旗总控	58999
阶段控制	59000
二阶段落雷控制	59001
落雷	59002
雷池	59003
幻境迷云	59004
幻境魔影	59005
幻境分身	59006
祆教使者	58948
祆教使者	58948
破弃的兵器	59113
宝箱	61484
