Name	RepresentID
李复	39879
隐元会联系人	39880
穆玄英	39881
莫雨	39882
陈月	39883
神秘老者	40083
天字零号	39884
隐元会暗杀者	39885
狼牙精锐盾兵	39886
狼牙精锐枪兵	39887
狼牙精锐刀兵	39888
狼牙精锐队正	39889
无名	39890
傀儡·阳	39891
傀儡·阴	39892
傀儡·噬	39893
阵法·乾	39894
阵法·坤	39895
阵法·坎	39896
阵法·离	39897
阵法·巽	39898
阵法·兑	39899
阵法·震	39900
阵法·艮	39901
地字一号	39902
隐元会暗杀者	39904
毒鸩	39905
夜雪释放控制	39906
战斗范围总控	39907
BOSS流程总控	39908
黑鹰	39909
飞禽·恨	39910
飞禽·愁	39911
黑鹰	39912
黑鹰	39913
邪影	39914
十二相·子	39915
十二相·丑	39916
十二相·寅	39917
十二相·卯	39918
十二相·辰	39919
十二相·巳	39920
十二相·午	39921
十二相·未	39922
十二相·申	39923
十二相·酉	39924
十二相·戌	39925
十二相·亥	39926
愁城	39929
史朝义	39930
狼牙盾兵	39931
狼牙枪兵	39932
狼牙射手	39933
炸药补给兵	39934
地刺补给兵	39935
焦油补给兵	39936
地刺补给车	39937
焦油补给车	39938
硝炎战狼	39939
傀儡残骸	39940
狼牙军备	39941
战旗	39942
炮台底座	39943
炮台	39944
临时工	39945
念念	39946
史朝义	39947
史朝义	39271
天字零号	39948
无名之影	39949
气劲标识	39950
气劲标识	38136
气劲标识	38139
寒冰	39954
掩藏在风雪中的宝藏	39956
焦油	39957
炸药桶	39958
地刺	39959
刺客	39960
刺客	39961
精准炮台	39962
强击炮台	39963
Boss总控	39964
刷兵控制	39965
刺客刷兵控制	39966
傀儡·幽冥	39967
小玄	39968
天字零号	39969
李复	39970
李复	39971
神秘老者	39972
小喵	39973
黑鹰	39974
宝箱	39975
狼牙禁卫军	39976
狼牙禁卫军	39977
宝箱	39978
神秘刺客	39979
幽冥气劲	40059
霍正军	40071
莫寻常	40099
钟一洋	40073
杜森	40074
风筝	40082
