Name	RepresentID
绿蘑菇	6551
黄蘑菇	6549
白蘑菇	6540
蜘蛛囊	6565
红蜘蛛	6548
绿蜘蛛	6552
叶火汐	6560
1号总控	6538
火药罐	6550
御火门徒	5927
御火门徒	5929
御火护卫	6562
御火护卫	6667
叶昊天	6558
熔岩	6659
叶金素	6559
大树	6632
天策弟子	3635
万花弟子	3640
纯阳弟子	3628
少林弟子	3643
七秀弟子	3637
五毒巫医	6555
藏剑重剑护卫	6546
绿色毒雾	6654
御风护卫	6561
御雪护卫	6564
叶冬辰	6557
绿色蘑菇	6542
红色蘑菇	6543
黄色蘑菇	6544
白色蘑菇	6545
叶凌烈	6576
千秋剑	6634
千秋剑阵	6662
叶无心	6571
四季灵蕴	6668
四季灵蕴	6676
四季灵蕴	6677
四季灵蕴	6669
四季灵蕴	6670
四季灵蕴	6671
四季灵蕴	6672
四季灵蕴	6673
四季灵蕴	6674
四季灵蕴	6675
叶无心	6570
叶秋池	6574
叶秋池	6573
溯雪剑	6635
室火剑	6636
壁水剑	6663
叶芳致总控	6575
叶无心总控	6569
叶秋池总控	6572
春之谷总控	6624
秋之谷总控	6628
冬之谷总控	6627
藤蔓	6638
叶子	6639
垂蔓	6640
浅白蘑菇	6545
浅红蘑菇	6543
浅黄蘑菇	6544
浅绿蘑菇	6542
深白蘑菇	6545
深红蘑菇	6543
深黄蘑菇	6544
深绿蘑菇	6542
天地同寿总控	6658
御雪冰锥	6679
雪堆	6680
御风护卫	6681
小冰锥	6682
中冰锥	6683
大冰锥	6684
特大冰锥	6685
虚弱毒雾	6689
剧毒毒雾	6687
治疗药雾	6688
宝箱	6690
红蘑菇	6541
叶凌烈遗留的包裹	6709
叶芳致	6731
