Name	RepresentID
夕罗双	2260
藤原樱奈	2290
梅剑雄	2291
鬼影千华	2324
神锋道守阵武士	2326
金刚道守阵武士	2329
幻影武者	2403
雾隐风忍	2454
雾隐浪人	2483
侍魂者	2430
雾隐火忍	2462
雾隐鬼忍	2461
道弘	2512
张中	2485
李东流	2484
白依依	2531
华清源	2532
雾隐暗忍	2448
纯一郎	3644
新佑卫门	3674
休休	3731
鬼神童子	3733
桃太郎	3753
八宝斋	3783
柳兵卫	3793
阿修	3812
小舞	3816
武藏	3821
小次郎	3832
喵喵	3834
桃太郎的鸟	3869
桃太郎的猴	3926
桃太郎的狗	3930
下流武士	4159
洗浴女子	4182
洗浴女子	4210
夕罗双之影	4303
藤原樱奈	4295
梅剑雄之影	4291
忍法机关·菊	5150
忍法机关·刀	5152
雾隐土忍	5158
雾隐水忍	5154
忍者头目	5155
沐浴女子	5156
浪人侍从	5159
忍法机关·樱	5178
须佐之男	5215
吞酒童子	5216
宫本武藏	5217
山上忆良	5218
御堂藻前	5219
施巴拉古	5220
灵狐	5221
侍魂	5299
风灵阴阳师	5306
火灵阴阳师	5308
暗神阴阳师	5309
鬼神阴阳师	5307
风灵阴阳术	5320
火灵阴阳术	5321
暗神阴阳术	5322
鬼神阴阳术	5323
林嘉琦	5357
行歌	5358
木桩	5359
金气场	5365
红气场	5366
绿气场	5364
白气场	5367
蓝气场	5368
光晕	5369
风灵神座	5413
火灵神座	5423
暗神座	5424
鬼神座	5422
隐元会秘使	67160
